run,variant,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,base,1.06582e-14,100000,0.242041,99999,49999.5,0
1,base,1.06582e-14,100000,0.238493,99999,49999.5,0
2,base,1.06582e-14,100000,0.235835,99999,49999.5,0
3,base,1.06582e-14,100000,0.216122,99999,49999.5,0
4,base,1.06582e-14,100000,0.216671,99999,49999.5,0
5,base,1.06582e-14,100000,0.215938,99999,49999.5,0
6,base,1.06582e-14,100000,0.216575,99999,49999.5,0
7,base,1.06582e-14,100000,0.214782,99999,49999.5,0
8,base,1.06582e-14,100000,0.215161,99999,49999.5,0
9,base,1.06582e-14,100000,0.212382,99999,49999.5,0
0,depth_k,1.06582e-14,22,6.22901e-05,21,10.5,1
1,depth_k,1.06582e-14,22,4.83801e-05,21,10.5,1
2,depth_k,1.06582e-14,22,5.18091e-05,21,10.5,1
3,depth_k,1.06582e-14,22,4.70201e-05,21,10.5,1
4,depth_k,1.06582e-14,22,4.67501e-05,21,10.5,1
5,depth_k,1.06582e-14,22,4.65301e-05,21,10.5,1
6,depth_k,1.06582e-14,22,4.69701e-05,21,10.5,1
7,depth_k,1.06582e-14,22,4.72501e-05,21,10.5,1
8,depth_k,1.06582e-14,22,4.68591e-05,21,10.5,1
9,depth_k,1.06582e-14,22,4.66901e-05,21,10.5,1
0,depth_k_rand,1.06582e-14,22,7.12401e-05,21,10.5,1
1,depth_k_rand,1.06582e-14,22,5.79091e-05,21,10.5,1
2,depth_k_rand,1.06582e-14,22,5.79001e-05,21,10.5,1
3,depth_k_rand,1.06582e-14,22,5.74101e-05,21,10.5,1
4,depth_k_rand,1.06582e-14,22,5.72701e-05,21,10.5,1
5,depth_k_rand,1.06582e-14,22,5.77001e-05,21,10.5,1
6,depth_k_rand,1.06582e-14,22,5.72601e-05,21,10.5,1
7,depth_k_rand,1.06582e-14,22,5.76591e-05,21,10.5,1
8,depth_k_rand,1.06582e-14,22,5.80101e-05,21,10.5,1
9,depth_k_rand,1.06582e-14,22,5.83601e-05,21,10.5,1
0,vol_k,1.06582e-14,22,6.70401e-05,21,10.5,1
1,vol_k,1.06582e-14,22,4.83201e-05,21,10.5,1
2,vol_k,1.06582e-14,22,4.83791e-05,21,10.5,1
3,vol_k,1.06582e-14,22,4.84901e-05,21,10.5,1
4,vol_k,1.06582e-14,22,4.84201e-05,21,10.5,1
5,vol_k,1.06582e-14,22,4.88901e-05,21,10.5,1
6,vol_k,1.06582e-14,22,4.86101e-05,21,10.5,1
7,vol_k,1.06582e-14,22,5.35401e-05,21,10.5,1
8,vol_k,1.06582e-14,22,4.84401e-05,21,10.5,1
9,vol_k,1.06582e-14,22,4.88191e-05,21,10.5,1
0,vol_k_rand,1.06582e-14,22,8.29001e-05,21,10.5,1
1,vol_k_rand,1.06582e-14,22,5.79301e-05,21,10.5,1
2,vol_k_rand,1.06582e-14,22,5.80491e-05,21,10.5,1
3,vol_k_rand,1.06582e-14,22,5.81201e-05,21,10.5,1
4,vol_k_rand,1.06582e-14,22,5.81801e-05,21,10.5,1
5,vol_k_rand,1.06582e-14,22,5.79801e-05,21,10.5,1
6,vol_k_rand,1.06582e-14,22,5.82201e-05,21,10.5,1
7,vol_k_rand,1.06582e-14,22,6.44991e-05,21,10.5,1
8,vol_k_rand,1.06582e-14,22,5.77601e-05,21,10.5,1
9,vol_k_rand,1.06582e-14,22,5.78801e-05,21,10.5,1
