run,variant,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,base,4.94066e-324,100000,0.44508,99999,49999.5,0
1,base,4.94066e-324,100000,0.440593,99999,49999.5,0
2,base,4.94066e-324,100000,0.443855,99999,49999.5,0
3,base,4.94066e-324,100000,0.444542,99999,49999.5,0
4,base,4.94066e-324,100000,0.439749,99999,49999.5,0
5,base,4.94066e-324,100000,0.442313,99999,49999.5,0
6,base,4.94066e-324,100000,0.441423,99999,49999.5,0
7,base,4.94066e-324,100000,0.439958,99999,49999.5,0
8,base,4.94066e-324,100000,0.440091,99999,49999.5,0
9,base,4.94066e-324,100000,0.441586,99999,49999.5,0
0,depth_k,1.30105e-18,22,0.000167051,21,10.5,1
1,depth_k,1.30105e-18,22,0.0001606,21,10.5,1
2,depth_k,1.30105e-18,22,0.000159911,21,10.5,1
3,depth_k,1.30105e-18,22,0.00016075,21,10.5,1
4,depth_k,1.30105e-18,22,0.000154331,21,10.5,1
5,depth_k,1.30105e-18,22,0.00015666,21,10.5,1
6,depth_k,1.30105e-18,22,0.000154121,21,10.5,1
7,depth_k,1.30105e-18,22,0.00015421,21,10.5,1
8,depth_k,1.30105e-18,22,0.000154231,21,10.5,1
9,depth_k,1.30105e-18,22,0.00015415,21,10.5,1
0,depth_k_rand,1.30105e-18,22,0.000167521,21,10.5,1
1,depth_k_rand,1.30105e-18,22,0.0001598,21,10.5,1
2,depth_k_rand,1.30105e-18,22,0.000159691,21,10.5,1
3,depth_k_rand,1.30105e-18,22,0.0001869,21,10.5,1
4,depth_k_rand,1.30105e-18,22,0.00015953,21,10.5,1
5,depth_k_rand,1.30105e-18,22,0.000159461,21,10.5,1
6,depth_k_rand,1.30105e-18,22,0.000159851,21,10.5,1
7,depth_k_rand,1.30105e-18,22,0.00015949,21,10.5,1
8,depth_k_rand,1.30105e-18,22,0.000159781,21,10.5,1
9,depth_k_rand,1.30105e-18,22,0.00016237,21,10.5,1
0,vol_k,6.9389e-17,12,9.37701e-05,11,5.5,0
1,vol_k,6.9389e-17,12,8.17201e-05,11,5.5,0
2,vol_k,6.9389e-17,12,8.14191e-05,11,5.5,0
3,vol_k,6.9389e-17,12,8.05301e-05,11,5.5,0
4,vol_k,6.9389e-17,12,8.59501e-05,11,5.5,0
5,vol_k,6.9389e-17,12,8.06501e-05,11,5.5,0
6,vol_k,6.9389e-17,12,8.02891e-05,11,5.5,0
7,vol_k,6.9389e-17,12,8.06101e-05,11,5.5,0
8,vol_k,6.9389e-17,12,8.05101e-05,11,5.5,0
9,vol_k,6.9389e-17,12,8.03091e-05,11,5.5,0
0,vol_k_rand,6.9389e-17,12,9.60401e-05,11,5.5,0
1,vol_k_rand,6.9389e-17,12,9.03891e-05,11,5.5,0
2,vol_k_rand,6.9389e-17,12,8.60101e-05,11,5.5,0
3,vol_k_rand,6.9389e-17,12,8.54201e-05,11,5.5,0
4,vol_k_rand,6.9389e-17,12,8.55291e-05,11,5.5,0
5,vol_k_rand,6.9389e-17,12,8.55101e-05,11,5.5,0
6,vol_k_rand,6.9389e-17,12,8.53901e-05,11,5.5,0
7,vol_k_rand,6.9389e-17,12,8.55901e-05,11,5.5,0
8,vol_k_rand,6.9389e-17,12,8.53191e-05,11,5.5,0
9,vol_k_rand,6.9389e-17,12,8.53701e-05,11,5.5,0
