run,variant,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,base,9.99201e-16,100000,0.171259,99999,49999.5,0
1,base,9.99201e-16,100000,0.168344,99999,49999.5,0
2,base,9.99201e-16,100000,0.168282,99999,49999.5,0
3,base,9.99201e-16,100000,0.166559,99999,49999.5,0
4,base,9.99201e-16,100000,0.166165,99999,49999.5,0
5,base,9.99201e-16,100000,0.16658,99999,49999.5,0
6,base,9.99201e-16,100000,0.166892,99999,49999.5,0
7,base,9.99201e-16,100000,0.166734,99999,49999.5,0
8,base,9.99201e-16,100000,0.168263,99999,49999.5,0
9,base,9.99201e-16,100000,0.168686,99999,49999.5,0
0,depth_k,9.99201e-16,22,4.63801e-05,21,10.5,1
1,depth_k,9.99201e-16,22,3.79501e-05,21,10.5,1
2,depth_k,9.99201e-16,22,3.79801e-05,21,10.5,1
3,depth_k,9.99201e-16,22,3.77801e-05,21,10.5,1
4,depth_k,9.99201e-16,22,3.78601e-05,21,10.5,1
5,depth_k,9.99201e-16,22,3.78401e-05,21,10.5,1
6,depth_k,9.99201e-16,22,3.72601e-05,21,10.5,1
7,depth_k,9.99201e-16,22,3.74691e-05,21,10.5,1
8,depth_k,9.99201e-16,22,3.74401e-05,21,10.5,1
9,depth_k,9.99201e-16,22,3.74501e-05,21,10.5,1
0,depth_k_rand,9.99201e-16,22,5.63501e-05,21,10.5,1
1,depth_k_rand,9.99201e-16,22,4.46401e-05,21,10.5,1
2,depth_k_rand,9.99201e-16,22,4.90991e-05,21,10.5,1
3,depth_k_rand,9.99201e-16,22,4.52701e-05,21,10.5,1
4,depth_k_rand,9.99201e-16,22,4.46001e-05,21,10.5,1
5,depth_k_rand,9.99201e-16,22,4.48901e-05,21,10.5,1
6,depth_k_rand,9.99201e-16,22,4.47901e-05,21,10.5,1
7,depth_k_rand,9.99201e-16,22,4.50001e-05,21,10.5,1
8,depth_k_rand,9.99201e-16,22,4.47601e-05,21,10.5,1
9,depth_k_rand,9.99201e-16,22,4.49291e-05,21,10.5,1
0,vol_k,9.99201e-16,22,5.81691e-05,21,10.5,1
1,vol_k,9.99201e-16,22,3.92801e-05,21,10.5,1
2,vol_k,9.99201e-16,22,3.93001e-05,21,10.5,1
3,vol_k,9.99201e-16,22,3.94801e-05,21,10.5,1
4,vol_k,9.99201e-16,22,3.92701e-05,21,10.5,1
5,vol_k,9.99201e-16,22,3.95901e-05,21,10.5,1
6,vol_k,9.99201e-16,22,3.93901e-05,21,10.5,1
7,vol_k,9.99201e-16,22,3.95291e-05,21,10.5,1
8,vol_k,9.99201e-16,22,3.91901e-05,21,10.5,1
9,vol_k,9.99201e-16,22,3.95401e-05,21,10.5,1
0,vol_k_rand,9.99201e-16,22,5.88691e-05,21,10.5,1
1,vol_k_rand,9.99201e-16,22,4.78601e-05,21,10.5,1
2,vol_k_rand,9.99201e-16,22,4.71901e-05,21,10.5,1
3,vol_k_rand,9.99201e-16,22,4.73801e-05,21,10.5,1
4,vol_k_rand,9.99201e-16,22,4.67801e-05,21,10.5,1
5,vol_k_rand,9.99201e-16,22,5.02801e-05,21,10.5,1
6,vol_k_rand,9.99201e-16,22,4.55491e-05,21,10.5,1
7,vol_k_rand,9.99201e-16,22,4.55901e-05,21,10.5,1
8,vol_k_rand,9.99201e-16,22,4.94701e-05,21,10.5,1
9,vol_k_rand,9.99201e-16,22,4.55601e-05,21,10.5,1
