run,variant,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,base,2.77556e-17,100000,0.12235,99999,49999.5,0
1,base,2.77556e-17,100000,0.121631,99999,49999.5,0
2,base,2.77556e-17,100000,0.122609,99999,49999.5,0
3,base,2.77556e-17,100000,0.12262,99999,49999.5,0
4,base,2.77556e-17,100000,0.122004,99999,49999.5,0
5,base,2.77556e-17,100000,0.119825,99999,49999.5,0
6,base,2.77556e-17,100000,0.122342,99999,49999.5,0
7,base,2.77556e-17,100000,0.122517,99999,49999.5,0
8,base,2.77556e-17,100000,0.120323,99999,49999.5,0
9,base,2.77556e-17,100000,0.12252,99999,49999.5,0
0,depth_k,2.77556e-17,22,3.85301e-05,21,10.5,1
1,depth_k,2.77556e-17,22,2.65001e-05,21,10.5,1
2,depth_k,2.77556e-17,22,2.63101e-05,21,10.5,1
3,depth_k,2.77556e-17,22,2.65391e-05,21,10.5,1
4,depth_k,2.77556e-17,22,2.63101e-05,21,10.5,1
5,depth_k,2.77556e-17,22,2.63301e-05,21,10.5,1
6,depth_k,2.77556e-17,22,2.59401e-05,21,10.5,1
7,depth_k,2.77556e-17,22,2.63201e-05,21,10.5,1
8,depth_k,2.77556e-17,22,2.65801e-05,21,10.5,1
9,depth_k,2.77556e-17,22,2.62401e-05,21,10.5,1
0,depth_k_rand,2.77556e-17,22,5.18501e-05,21,10.5,1
1,depth_k_rand,2.77556e-17,22,3.44101e-05,21,10.5,1
2,depth_k_rand,2.77556e-17,22,3.47001e-05,21,10.5,1
3,depth_k_rand,2.77556e-17,22,3.43901e-05,21,10.5,1
4,depth_k_rand,2.77556e-17,22,3.45401e-05,21,10.5,1
5,depth_k_rand,2.77556e-17,22,3.42891e-05,21,10.5,1
6,depth_k_rand,2.77556e-17,22,3.49501e-05,21,10.5,1
7,depth_k_rand,2.77556e-17,22,3.53901e-05,21,10.5,1
8,depth_k_rand,2.77556e-17,22,4.50401e-05,21,10.5,1
9,depth_k_rand,2.77556e-17,22,4.19401e-05,21,10.5,1
0,vol_k,2.77556e-17,22,4.82301e-05,21,10.5,1
1,vol_k,2.77556e-17,22,2.87501e-05,21,10.5,1
2,vol_k,2.77556e-17,22,2.83901e-05,21,10.5,1
3,vol_k,2.77556e-17,22,2.84201e-05,21,10.5,1
4,vol_k,2.77556e-17,22,2.82601e-05,21,10.5,1
5,vol_k,2.77556e-17,22,2.84801e-05,21,10.5,1
6,vol_k,2.77556e-17,22,2.86101e-05,21,10.5,1
7,vol_k,2.77556e-17,22,2.86391e-05,21,10.5,1
8,vol_k,2.77556e-17,22,2.84201e-05,21,10.5,1
9,vol_k,2.77556e-17,22,2.81001e-05,21,10.5,1
0,vol_k_rand,2.77556e-17,22,5.24001e-05,21,10.5,1
1,vol_k_rand,2.77556e-17,22,5.61401e-05,21,10.5,1
2,vol_k_rand,2.77556e-17,22,3.49901e-05,21,10.5,1
3,vol_k_rand,2.77556e-17,22,3.49891e-05,21,10.5,1
4,vol_k_rand,2.77556e-17,22,3.49801e-05,21,10.5,1
5,vol_k_rand,2.77556e-17,22,3.46101e-05,21,10.5,1
6,vol_k_rand,2.77556e-17,22,3.50101e-05,21,10.5,1
7,vol_k_rand,2.77556e-17,22,3.49101e-05,21,10.5,1
8,vol_k_rand,2.77556e-17,22,3.50701e-05,21,10.5,1
9,vol_k_rand,2.77556e-17,22,3.46601e-05,21,10.5,1
