run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,base,alkyl.bch,-1.76465,20,0.037679,NA,NA,1,0,0,0,0,0
2,base,alkyl.bch,-1.76358,36,0.065077,NA,NA,1,0,0,0,0,0
3,base,alkyl.bch,-1.76492,42,0.074618,NA,NA,1,0,0,0,0,0
5,base,alkyl.bch,-1.76493,46,0.0777,NA,NA,1,0,0,0,0,0
1,base,alkyl.bch,-1.76484,46,0.080977,NA,NA,1,0,0,0,0,0
0,base,alkyl.bch,-1.76463,60,0.101351,NA,NA,1,0,0,0,0,0
8,base,alkyl.bch,-1.76437,40,0.071893,NA,NA,1,0,0,0,0,0
6,base,alkyl.bch,-1.7649,60,0.107428,NA,NA,1,0,0,0,0,0
7,base,alkyl.bch,-1.76455,52,0.090237,NA,NA,1,0,0,0,0,0
9,base,alkyl.bch,-1.7645,58,0.100771,NA,NA,1,0,0,0,0,0
