run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,base,alkyl.bch,-1.76391,46,0.082689,NA,NA,1
1,base,alkyl.bch,-1.76391,46,0.082914,NA,NA,1
3,base,alkyl.bch,-1.76391,46,0.102976,NA,NA,1
9,base,alkyl.bch,-1.76391,46,0.11064,NA,NA,1
8,base,alkyl.bch,-1.76391,46,0.110229,NA,NA,1
4,base,alkyl.bch,-1.76391,46,0.110935,NA,NA,1
5,base,alkyl.bch,-1.76391,46,0.110503,NA,NA,1
7,base,alkyl.bch,-1.76391,46,0.111302,NA,NA,1
6,base,alkyl.bch,-1.76391,46,0.111199,NA,NA,1
2,base,alkyl.bch,-1.76391,46,0.111621,NA,NA,1
2,base,alkylbis.bch,-1.76423,44,0.078545,NA,NA,1
1,base,alkylbis.bch,-1.76423,44,0.102062,NA,NA,1
7,base,alkylbis.bch,-1.76423,44,0.078319,NA,NA,1
0,base,alkylbis.bch,-1.76423,44,0.106014,NA,NA,1
4,base,alkylbis.bch,-1.76423,44,0.098473,NA,NA,1
3,base,alkylbis.bch,-1.76423,44,0.106099,NA,NA,1
8,base,alkylbis.bch,-1.76423,44,0.105544,NA,NA,1
5,base,alkylbis.bch,-1.76423,44,0.106251,NA,NA,1
6,base,alkylbis.bch,-1.76423,44,0.106428,NA,NA,1
9,base,alkylbis.bch,-1.76423,44,0.105645,NA,NA,1
9,base,bearing.bch,1.95107,2110,5.69226,NA,NA,1
1,base,bearing.bch,1.95107,2110,5.87891,NA,NA,1
0,base,ex14_2_3.bch,6.57645e-08,486,0.833315,NA,NA,1
1,base,ex14_2_3.bch,6.57645e-08,486,0.869869,NA,NA,1
0,base,bearing.bch,1.95107,2110,7.15853,NA,NA,1
7,base,bearing.bch,1.95107,2110,7.15936,NA,NA,1
3,base,bearing.bch,1.95107,2110,7.50574,NA,NA,1
2,base,ex14_2_3.bch,6.57645e-08,486,0.871473,NA,NA,1
5,base,bearing.bch,1.95107,2110,7.51311,NA,NA,1
8,base,bearing.bch,1.95107,2110,7.51719,NA,NA,1
2,base,bearing.bch,1.95107,2110,7.62716,NA,NA,1
4,base,bearing.bch,1.95107,2110,7.65136,NA,NA,1
6,base,bearing.bch,1.95107,2110,7.64498,NA,NA,1
3,base,ex14_2_3.bch,6.57645e-08,486,0.870788,NA,NA,1
4,base,ex14_2_3.bch,6.57645e-08,486,0.867405,NA,NA,1
5,base,ex14_2_3.bch,6.57645e-08,486,0.854495,NA,NA,1
9,base,ex14_2_3.bch,6.57645e-08,486,0.63267,NA,NA,1
6,base,ex14_2_3.bch,6.57645e-08,486,0.698196,NA,NA,1
8,base,ex14_2_3.bch,6.57645e-08,486,0.858445,NA,NA,1
7,base,ex14_2_3.bch,6.57645e-08,486,0.873246,NA,NA,1
