run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,base,bearing.bch,1.95107,2488,5.44875,NA,NA,1,0,0,0,0,0
4,base,bearing.bch,1.95107,2208,5.51045,NA,NA,1,0,0,0,0,0
2,base,bearing.bch,1.95107,2266,5.63235,NA,NA,1,0,0,0,0,0
1,base,bearing.bch,1.95108,2472,5.86644,NA,NA,1,0,0,0,0,0
5,base,bearing.bch,1.95107,2294,5.92744,NA,NA,1,0,0,0,0,0
0,base,bearing.bch,1.95107,2590,6.15101,NA,NA,1,0,0,0,0,0
6,base,bearing.bch,1.95107,2066,4.98538,NA,NA,1,0,0,0,0,0
8,base,bearing.bch,1.95107,2420,5.7711,NA,NA,1,0,0,0,0,0
7,base,bearing.bch,1.95107,3352,6.70587,NA,NA,1,0,0,0,0,0
9,base,bearing.bch,1.95107,2884,7.20097,NA,NA,1,0,0,0,0,0
