run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,base,ex5_2_2_case3.bch,-750,16,0.012751,NA,NA,1,0,0,0,0,0
4,base,ex5_2_2_case3.bch,-750,16,0.012684,NA,NA,1,0,0,0,0,0
2,base,ex5_2_2_case3.bch,-750,12,0.014113,NA,NA,1,0,0,0,0,0
1,base,ex5_2_2_case3.bch,-750,16,0.014046,NA,NA,1,0,0,0,0,0
0,base,ex5_2_2_case3.bch,-750,26,0.023893,NA,NA,1,0,0,0,0,0
3,base,ex5_2_2_case3.bch,-750,26,0.023915,NA,NA,1,0,0,0,0,0
7,base,ex5_2_2_case3.bch,-750,18,0.016274,NA,NA,1,0,0,0,0,0
6,base,ex5_2_2_case3.bch,-750,24,0.018388,NA,NA,1,0,0,0,0,0
8,base,ex5_2_2_case3.bch,-750,20,0.018267,NA,NA,1,0,0,0,0,0
9,base,ex5_2_2_case3.bch,-750,32,0.025751,NA,NA,1,0,0,0,0,0
