run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,base,ex6_1_3bis.bch,-0.35186,11150,5.4722,NA,NA,1,0,0,0,0,0
1,base,ex6_1_3bis.bch,-0.351881,11146,5.50744,NA,NA,1,0,0,0,0,0
3,base,ex6_1_3bis.bch,-0.35186,11150,5.51316,NA,NA,1,0,0,0,0,0
5,base,ex6_1_3bis.bch,-0.351879,11142,5.54847,NA,NA,1,0,0,0,0,0
0,base,ex6_1_3bis.bch,-0.351881,11146,5.5579,NA,NA,1,0,0,0,0,0
2,base,ex6_1_3bis.bch,-0.35186,11150,5.5835,NA,NA,1,0,0,0,0,0
6,base,ex6_1_3bis.bch,-0.351879,11142,5.36035,NA,NA,1,0,0,0,0,0
7,base,ex6_1_3bis.bch,-0.351879,11142,5.3826,NA,NA,1,0,0,0,0,0
8,base,ex6_1_3bis.bch,-0.351869,11230,5.41506,NA,NA,1,0,0,0,0,0
9,base,ex6_1_3bis.bch,-0.351869,11230,5.46167,NA,NA,1,0,0,0,0,0
