run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,depth_k,alkylbis.bch,-1.76383,156,0.16714,NA,NA,1,134,134,0,138,138
5,depth_k,alkylbis.bch,-1.76383,156,0.166896,NA,NA,1,131,131,0,138,138
3,depth_k,alkylbis.bch,-1.76398,156,0.166212,NA,NA,1,129,129,0,133,133
2,depth_k,alkylbis.bch,-1.76344,168,0.177942,NA,NA,1,138,138,0,145,145
0,depth_k,alkylbis.bch,-1.76432,170,0.182483,NA,NA,1,149,149,0,156,156
1,depth_k,alkylbis.bch,-1.76432,170,0.185088,NA,NA,1,152,152,0,156,156
9,depth_k,alkylbis.bch,-1.76438,114,0.126682,NA,NA,1,92,92,0,98,98
7,depth_k,alkylbis.bch,-1.76365,142,0.153694,NA,NA,1,121,121,0,125,125
8,depth_k,alkylbis.bch,-1.76365,142,0.155155,NA,NA,1,121,121,0,125,125
6,depth_k,alkylbis.bch,-1.76377,156,0.166875,NA,NA,1,127,127,0,134,134
