run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
8,depth_k,alkyl.bch,-1.76446,148,0.178307,NA,NA,1
1,depth_k,alkyl.bch,-1.76446,148,0.179692,NA,NA,1
9,depth_k,alkyl.bch,-1.76446,148,0.225429,NA,NA,1
5,depth_k,alkyl.bch,-1.76446,148,0.22692,NA,NA,1
6,depth_k,alkyl.bch,-1.76446,148,0.238712,NA,NA,1
2,depth_k,alkyl.bch,-1.76446,148,0.241529,NA,NA,1
3,depth_k,alkyl.bch,-1.76446,148,0.242831,NA,NA,1
4,depth_k,alkyl.bch,-1.76446,148,0.242373,NA,NA,1
7,depth_k,alkyl.bch,-1.76446,148,0.243626,NA,NA,1
0,depth_k,alkyl.bch,-1.76446,148,0.244142,NA,NA,1
0,depth_k,alkylbis.bch,-1.76426,106,0.1492,NA,NA,1
1,depth_k,alkylbis.bch,-1.76426,106,0.185844,NA,NA,1
6,depth_k,alkylbis.bch,-1.76426,106,0.135621,NA,NA,1
2,depth_k,alkylbis.bch,-1.76426,106,0.184872,NA,NA,1
3,depth_k,alkylbis.bch,-1.76426,106,0.185781,NA,NA,1
4,depth_k,alkylbis.bch,-1.76426,106,0.186598,NA,NA,1
5,depth_k,alkylbis.bch,-1.76426,106,0.184986,NA,NA,1
7,depth_k,alkylbis.bch,-1.76426,106,0.184307,NA,NA,1
8,depth_k,alkylbis.bch,-1.76426,106,0.186684,NA,NA,1
9,depth_k,alkylbis.bch,-1.76426,106,0.18662,NA,NA,1
0,depth_k,bearing.bch,1.95108,9350,11.5927,NA,NA,1
7,depth_k,bearing.bch,1.95108,9350,11.7692,NA,NA,1
4,depth_k,bearing.bch,1.95108,9350,13.8153,NA,NA,1
6,depth_k,bearing.bch,1.95108,9350,14.6376,NA,NA,1
2,depth_k,bearing.bch,1.95108,9350,15.1819,NA,NA,1
3,depth_k,bearing.bch,1.95108,9350,15.1341,NA,NA,1
9,depth_k,bearing.bch,1.95108,9350,15.162,NA,NA,1
8,depth_k,bearing.bch,1.95108,9350,15.1682,NA,NA,1
5,depth_k,bearing.bch,1.95108,9350,15.1718,NA,NA,1
1,depth_k,bearing.bch,1.95108,9350,15.2919,NA,NA,1
0,depth_k,ex14_2_3.bch,1.31417e-09,15294,11.2438,NA,NA,1
1,depth_k,ex14_2_3.bch,1.31417e-09,15294,13.9733,NA,NA,1
2,depth_k,ex14_2_3.bch,1.31417e-09,15294,11.9893,NA,NA,1
3,depth_k,ex14_2_3.bch,1.31417e-09,15294,14.0977,NA,NA,1
7,depth_k,ex14_2_3.bch,1.31417e-09,15294,13.8387,NA,NA,1
8,depth_k,ex14_2_3.bch,1.31417e-09,15294,14.0882,NA,NA,1
6,depth_k,ex14_2_3.bch,1.31417e-09,15294,14.7504,NA,NA,1
5,depth_k,ex14_2_3.bch,1.31417e-09,15294,15.0716,NA,NA,1
4,depth_k,ex14_2_3.bch,1.31417e-09,15294,15.0933,NA,NA,1
9,depth_k,ex14_2_3.bch,1.31417e-09,15294,15.2125,NA,NA,1
3,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1287.97,NA,NA,1
0,depth_k,ex2_1_7.bch,-4150.41,1250,2.97931,NA,NA,1
1,depth_k,ex2_1_7.bch,-4150.41,1250,3.6088,NA,NA,1
2,depth_k,ex2_1_7.bch,-4150.41,1250,4.04726,NA,NA,1
3,depth_k,ex2_1_7.bch,-4150.41,1250,4.072,NA,NA,1
4,depth_k,ex2_1_7.bch,-4150.41,1250,4.05353,NA,NA,1
5,depth_k,ex2_1_7.bch,-4150.41,1250,4.06799,NA,NA,1
6,depth_k,ex2_1_7.bch,-4150.41,1250,4.04421,NA,NA,1
7,depth_k,ex2_1_7.bch,-4150.41,1250,4.07297,NA,NA,1
8,depth_k,ex2_1_7.bch,-4150.41,1250,4.03612,NA,NA,1
9,depth_k,ex2_1_7.bch,-4150.41,1250,4.03118,NA,NA,1
0,depth_k,ex2_1_8.bch,15639,376,2.03662,NA,NA,1
1,depth_k,ex2_1_8.bch,15639,376,2.04202,NA,NA,1
2,depth_k,ex2_1_8.bch,15639,376,2.0423,NA,NA,1
3,depth_k,ex2_1_8.bch,15639,376,2.04838,NA,NA,1
4,depth_k,ex2_1_8.bch,15639,376,2.04541,NA,NA,1
5,depth_k,ex2_1_8.bch,15639,376,2.04275,NA,NA,1
6,depth_k,ex2_1_8.bch,15639,376,2.04408,NA,NA,1
7,depth_k,ex2_1_8.bch,15639,376,2.04092,NA,NA,1
8,depth_k,ex2_1_8.bch,15639,376,2.04919,NA,NA,1
9,depth_k,ex2_1_8.bch,15639,376,2.04518,NA,NA,1
0,depth_k,ex2_1_9.bch,-0.374994,3134,3.8975,NA,NA,1
1,depth_k,ex2_1_9.bch,-0.374994,3134,3.91289,NA,NA,1
2,depth_k,ex2_1_9.bch,-0.374994,3134,3.89977,NA,NA,1
3,depth_k,ex2_1_9.bch,-0.374994,3134,3.86878,NA,NA,1
4,depth_k,ex2_1_9.bch,-0.374994,3134,3.88099,NA,NA,1
5,depth_k,ex2_1_9.bch,-0.374994,3134,3.85574,NA,NA,1
6,depth_k,ex2_1_9.bch,-0.374994,3134,3.81528,NA,NA,1
7,depth_k,ex2_1_9.bch,-0.374994,3134,3.03959,NA,NA,1
8,depth_k,ex2_1_9.bch,-0.374994,3134,3.95474,NA,NA,1
9,depth_k,ex2_1_9.bch,-0.374994,3134,3.886,NA,NA,1
0,depth_k,ex5_2_2_case3.bch,-750,46,0.059485,NA,NA,1
1,depth_k,ex5_2_2_case3.bch,-750,46,0.059609,NA,NA,1
2,depth_k,ex5_2_2_case3.bch,-750,46,0.059445,NA,NA,1
3,depth_k,ex5_2_2_case3.bch,-750,46,0.060228,NA,NA,1
4,depth_k,ex5_2_2_case3.bch,-750,46,0.059503,NA,NA,1
5,depth_k,ex5_2_2_case3.bch,-750,46,0.058922,NA,NA,1
6,depth_k,ex5_2_2_case3.bch,-750,46,0.059129,NA,NA,1
7,depth_k,ex5_2_2_case3.bch,-750,46,0.059022,NA,NA,1
8,depth_k,ex5_2_2_case3.bch,-750,46,0.059138,NA,NA,1
9,depth_k,ex5_2_2_case3.bch,-750,46,0.059526,NA,NA,1
0,depth_k,ex5_3_2.bch,1.86416,38,0.212399,NA,NA,1
1,depth_k,ex5_3_2.bch,1.86416,38,0.212611,NA,NA,1
2,depth_k,ex5_3_2.bch,1.86416,38,0.211882,NA,NA,1
3,depth_k,ex5_3_2.bch,1.86416,38,0.211786,NA,NA,1
4,depth_k,ex5_3_2.bch,1.86416,38,0.212129,NA,NA,1
5,depth_k,ex5_3_2.bch,1.86416,38,0.211588,NA,NA,1
6,depth_k,ex5_3_2.bch,1.86416,38,0.211318,NA,NA,1
7,depth_k,ex5_3_2.bch,1.86416,38,0.211428,NA,NA,1
8,depth_k,ex5_3_2.bch,1.86416,38,0.213437,NA,NA,1
9,depth_k,ex5_3_2.bch,1.86416,38,0.212334,NA,NA,1
0,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.33783,NA,NA,1
1,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.40216,NA,NA,1
2,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.40002,NA,NA,1
3,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.3352,NA,NA,1
4,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.34348,NA,NA,1
5,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.36349,NA,NA,1
6,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.37365,NA,NA,1
7,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.33019,NA,NA,1
8,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.37103,NA,NA,1
9,depth_k,ex6_1_3bis.bch,-0.35188,10388,5.34372,NA,NA,1
0,depth_k,ex6_1_4.bch,-0.294507,136,0.113747,NA,NA,1
1,depth_k,ex6_1_4.bch,-0.294507,136,0.112856,NA,NA,1
2,depth_k,ex6_1_4.bch,-0.294507,136,0.114132,NA,NA,1
3,depth_k,ex6_1_4.bch,-0.294507,136,0.114062,NA,NA,1
4,depth_k,ex6_1_4.bch,-0.294507,136,0.114214,NA,NA,1
5,depth_k,ex6_1_4.bch,-0.294507,136,0.114525,NA,NA,1
6,depth_k,ex6_1_4.bch,-0.294507,136,0.114242,NA,NA,1
7,depth_k,ex6_1_4.bch,-0.294507,136,0.114942,NA,NA,1
8,depth_k,ex6_1_4.bch,-0.294507,136,0.114162,NA,NA,1
9,depth_k,ex6_1_4.bch,-0.294507,136,0.114293,NA,NA,1
9,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1464.88,NA,NA,1
0,depth_k,ex6_2_11.bch,-2.6724e-06,44872,22.8375,NA,NA,1
1,depth_k,ex6_2_11.bch,-2.6724e-06,44872,16.3229,NA,NA,1
6,depth_k,ex14_2_7.bch,2.14074e-09,1301172,1488.59,NA,NA,1
2,depth_k,ex6_2_11.bch,-2.6724e-06,44872,22.7295,NA,NA,1
3,depth_k,ex6_2_11.bch,-2.6724e-06,44872,16.3298,NA,NA,1
4,depth_k,ex6_2_11.bch,-2.6724e-06,44872,22.7018,NA,NA,1
5,depth_k,ex6_2_11.bch,-2.6724e-06,44872,22.9145,NA,NA,1
6,depth_k,ex6_2_11.bch,-2.6724e-06,44872,18.1387,NA,NA,1
9,depth_k,ex6_2_11.bch,-2.6724e-06,44872,16.3778,NA,NA,1
7,depth_k,ex6_2_11.bch,-2.6724e-06,44872,22.7562,NA,NA,1
8,depth_k,ex6_2_11.bch,-2.6724e-06,44872,22.711,NA,NA,1
0,depth_k,ex6_2_12.bch,0.289195,29266,10.9746,NA,NA,1
2,depth_k,ex6_2_12.bch,0.289195,29266,11.6128,NA,NA,1
1,depth_k,ex6_2_12.bch,0.289195,29266,12.7054,NA,NA,1
3,depth_k,ex6_2_12.bch,0.289195,29266,12.7402,NA,NA,1
4,depth_k,ex6_2_12.bch,0.289195,29266,12.5544,NA,NA,1
5,depth_k,ex6_2_12.bch,0.289195,29266,12.553,NA,NA,1
6,depth_k,ex6_2_12.bch,0.289195,29266,12.8054,NA,NA,1
8,depth_k,ex6_2_12.bch,0.289195,29266,12.6542,NA,NA,1
7,depth_k,ex6_2_12.bch,0.289195,29266,12.7608,NA,NA,1
1,depth_k,ex6_2_14.bch,-0.695358,4896,1.83462,NA,NA,1
0,depth_k,ex6_2_14.bch,-0.695358,4896,2.49329,NA,NA,1
