run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k,bearing.bch,1.95107,11474,11.448,NA,NA,1,10561,10561,0,10563,10563
5,depth_k,bearing.bch,1.95158,10302,11.7619,NA,NA,1,9319,9319,0,9321,9321
3,depth_k,bearing.bch,1.95112,11212,12.3554,NA,NA,1,9963,9963,0,9965,9965
0,depth_k,bearing.bch,1.95111,14434,15.0058,NA,NA,1,13128,13128,0,13130,13130
4,depth_k,bearing.bch,1.95122,14704,15.0794,NA,NA,1,13378,13378,0,13380,13380
6,depth_k,bearing.bch,1.95114,10356,12.0077,NA,NA,1,9349,9349,0,9351,9351
2,depth_k,bearing.bch,1.95115,25340,23.5589,NA,NA,1,23309,23309,0,23311,23311
7,depth_k,bearing.bch,1.95178,12904,13.8158,NA,NA,1,11808,11808,0,11810,11810
9,depth_k,bearing.bch,1.9512,16682,16.651,NA,NA,1,15030,15030,0,15032,15032
8,depth_k,bearing.bch,1.9511,22278,20.6385,NA,NA,1,20466,20466,0,20468,20468
