run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers
4,depth_k,ex2_1_8.bch,15639,314,1.27279,NA,NA,1,0
1,depth_k,ex2_1_8.bch,15639,324,1.30201,NA,NA,1,0
3,depth_k,ex2_1_8.bch,15639,340,1.32399,NA,NA,1,0
2,depth_k,ex2_1_8.bch,15639,330,1.34362,NA,NA,1,0
5,depth_k,ex2_1_8.bch,15639,330,1.40868,NA,NA,1,0
0,depth_k,ex2_1_8.bch,15639,360,1.47114,NA,NA,1,0
6,depth_k,ex2_1_8.bch,15639,320,1.3172,NA,NA,1,0
8,depth_k,ex2_1_8.bch,15639,324,1.30608,NA,NA,1,0
9,depth_k,ex2_1_8.bch,15639,330,1.33015,NA,NA,1,0
7,depth_k,ex2_1_8.bch,15639,376,1.50748,NA,NA,1,0
