run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k,ex5_2_2_case3.bch,-750,10,0.010913,NA,NA,1,3,3,0,4,4
4,depth_k,ex5_2_2_case3.bch,-750,56,0.050588,NA,NA,1,43,43,0,44,44
0,depth_k,ex5_2_2_case3.bch,-750,82,0.069388,NA,NA,1,62,62,0,63,63
5,depth_k,ex5_2_2_case3.bch,-750,56,0.052211,NA,NA,1,43,43,0,44,44
2,depth_k,ex5_2_2_case3.bch,-750,56,0.051713,NA,NA,1,42,42,0,44,44
6,depth_k,ex5_2_2_case3.bch,-750,56,0.05116,NA,NA,1,43,43,0,44,44
3,depth_k,ex5_2_2_case3.bch,-750,82,0.067538,NA,NA,1,62,62,0,63,63
9,depth_k,ex5_2_2_case3.bch,-750,50,0.041822,NA,NA,1,33,33,0,34,34
8,depth_k,ex5_2_2_case3.bch,-750,48,0.04392,NA,NA,1,35,35,0,36,36
7,depth_k,ex5_2_2_case3.bch,-750,44,0.041896,NA,NA,1,32,32,0,33,33
