run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k,ex6_1_3bis.bch,-0.351881,9970,3.74669,NA,NA,1,4982,4982,0,4996,4996
0,depth_k,ex6_1_3bis.bch,-0.351885,9968,3.74912,NA,NA,1,4965,4965,0,4995,4995
3,depth_k,ex6_1_3bis.bch,-0.351881,9970,3.75792,NA,NA,1,4982,4982,0,4996,4996
5,depth_k,ex6_1_3bis.bch,-0.351882,10370,3.77619,NA,NA,1,5166,5166,0,5196,5196
2,depth_k,ex6_1_3bis.bch,-0.351881,9970,3.7771,NA,NA,1,4966,4966,0,4996,4996
4,depth_k,ex6_1_3bis.bch,-0.351882,10370,3.85084,NA,NA,1,5182,5182,0,5196,5196
6,depth_k,ex6_1_3bis.bch,-0.351882,10370,3.64467,NA,NA,1,5166,5166,0,5196,5196
7,depth_k,ex6_1_3bis.bch,-0.351882,10370,3.66647,NA,NA,1,5182,5182,0,5196,5196
9,depth_k,ex6_1_3bis.bch,-0.351882,10370,3.64338,NA,NA,1,5166,5166,0,5196,5196
8,depth_k,ex6_1_3bis.bch,-0.351882,10370,3.68344,NA,NA,1,5182,5182,0,5196,5196
