run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,depth_k,ex6_2_14.bch,-0.695358,4834,1.77053,NA,NA,1,2402,2402,0,2416,2416
4,depth_k,ex6_2_14.bch,-0.695358,4878,1.77936,NA,NA,1,2432,2432,0,2438,2438
1,depth_k,ex6_2_14.bch,-0.695358,4868,1.78035,NA,NA,1,2427,2427,0,2433,2433
2,depth_k,ex6_2_14.bch,-0.695358,4878,1.78168,NA,NA,1,2424,2424,0,2438,2438
0,depth_k,ex6_2_14.bch,-0.695358,4868,1.78508,NA,NA,1,2419,2419,0,2433,2433
3,depth_k,ex6_2_14.bch,-0.695358,4878,1.79984,NA,NA,1,2432,2432,0,2438,2438
6,depth_k,ex6_2_14.bch,-0.695358,4834,1.71571,NA,NA,1,2402,2402,0,2416,2416
8,depth_k,ex6_2_14.bch,-0.695358,4834,1.71484,NA,NA,1,2410,2410,0,2416,2416
7,depth_k,ex6_2_14.bch,-0.695358,4834,1.72408,NA,NA,1,2410,2410,0,2416,2416
9,depth_k,ex6_2_14.bch,-0.695358,4834,1.7265,NA,NA,1,2402,2402,0,2416,2416
