run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,depth_k,haverly.bch,-399.849,134,0.168598,NA,NA,1,94,94,0,95,95
0,depth_k,haverly.bch,-400,132,0.171312,NA,NA,1,96,96,0,97,97
1,depth_k,haverly.bch,-400,128,0.1741,NA,NA,1,94,94,0,96,96
3,depth_k,haverly.bch,-400,144,0.177018,NA,NA,1,103,103,0,104,104
2,depth_k,haverly.bch,-400,144,0.176992,NA,NA,1,103,103,0,104,104
5,depth_k,haverly.bch,-399.849,128,0.180677,NA,NA,1,92,92,0,93,93
6,depth_k,haverly.bch,-399.872,138,0.169095,NA,NA,1,99,99,0,100,100
7,depth_k,haverly.bch,-399.872,138,0.169597,NA,NA,1,99,99,0,100,100
9,depth_k,haverly.bch,-400,132,0.165748,NA,NA,1,96,96,0,97,97
8,depth_k,haverly.bch,-399.872,138,0.168238,NA,NA,1,99,99,0,100,100
