run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,depth_k,like-1.bch,2141.53,2448,0.654327,NA,NA,0,1558,1558,0,1,1
4,depth_k,like-1.bch,2141.53,2448,0.653578,NA,NA,0,1558,1558,0,1,1
1,depth_k,like-1.bch,2141.53,2448,0.660468,NA,NA,0,1558,1558,0,1,1
3,depth_k,like-1.bch,2141.53,2448,0.654996,NA,NA,0,1558,1558,0,1,1
0,depth_k,like-1.bch,2141.53,2448,0.655341,NA,NA,0,1558,1558,0,1,1
5,depth_k,like-1.bch,2141.53,2448,0.657119,NA,NA,0,1558,1558,0,1,1
6,depth_k,like-1.bch,2141.53,2448,0.63884,NA,NA,0,1558,1558,0,1,1
7,depth_k,like-1.bch,2141.53,2448,0.638587,NA,NA,0,1558,1558,0,1,1
8,depth_k,like-1.bch,2141.53,2448,0.645305,NA,NA,0,1558,1558,0,1,1
9,depth_k,like-1.bch,2141.53,2448,0.647379,NA,NA,0,1558,1558,0,1,1
