run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
4,depth_k_rand,alkyl.bch,-1.7644,124,0.141152,NA,NA,1
1,depth_k_rand,alkyl.bch,-1.7645,128,0.158629,NA,NA,1
2,depth_k_rand,alkyl.bch,-1.76418,140,0.166671,NA,NA,1
0,depth_k_rand,alkyl.bch,-1.76385,144,0.16628,NA,NA,1
3,depth_k_rand,alkyl.bch,-1.76324,172,0.18974,NA,NA,1
5,depth_k_rand,alkyl.bch,-1.76448,166,0.195808,NA,NA,1
6,depth_k_rand,alkyl.bch,-1.76494,152,0.171855,NA,NA,1
8,depth_k_rand,alkyl.bch,-1.7639,132,0.156339,NA,NA,1
7,depth_k_rand,alkyl.bch,-1.76477,162,0.186109,NA,NA,1
9,depth_k_rand,alkyl.bch,-1.76351,166,0.194855,NA,NA,1
