run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
1,depth_k_rand,bearing.bch,1.95111,5380,6.52682,NA,NA,1
4,depth_k_rand,bearing.bch,1.95111,10354,11.3678,NA,NA,1
3,depth_k_rand,bearing.bch,1.95114,10630,11.4082,NA,NA,1
2,depth_k_rand,bearing.bch,1.95111,11872,12.6806,NA,NA,1
0,depth_k_rand,bearing.bch,1.95119,12256,12.7026,NA,NA,1
6,depth_k_rand,bearing.bch,1.95111,12134,13.5162,NA,NA,1
9,depth_k_rand,bearing.bch,1.95115,10784,10.9398,NA,NA,1
8,depth_k_rand,bearing.bch,1.95119,14928,13.928,NA,NA,1
7,depth_k_rand,bearing.bch,1.95116,16476,15.6159,NA,NA,1
5,depth_k_rand,bearing.bch,1.95114,31992,27.7781,NA,NA,1
