run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k_rand,ex5_2_2_case3.bch,-750,10,0.011683,NA,NA,1,3,3,0,4,4
5,depth_k_rand,ex5_2_2_case3.bch,-750,56,0.051336,NA,NA,1,43,43,0,44,44
4,depth_k_rand,ex5_2_2_case3.bch,-750,56,0.052147,NA,NA,1,43,43,0,44,44
2,depth_k_rand,ex5_2_2_case3.bch,-750,56,0.053326,NA,NA,1,42,42,0,44,44
0,depth_k_rand,ex5_2_2_case3.bch,-750,82,0.069428,NA,NA,1,62,62,0,63,63
3,depth_k_rand,ex5_2_2_case3.bch,-750,82,0.069211,NA,NA,1,62,62,0,63,63
6,depth_k_rand,ex5_2_2_case3.bch,-750,56,0.052099,NA,NA,1,43,43,0,44,44
7,depth_k_rand,ex5_2_2_case3.bch,-750,44,0.042449,NA,NA,1,32,32,0,33,33
9,depth_k_rand,ex5_2_2_case3.bch,-750,50,0.042842,NA,NA,1,33,33,0,34,34
8,depth_k_rand,ex5_2_2_case3.bch,-750,48,0.046065,NA,NA,1,35,35,0,36,36
