run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k_rand,ex6_1_3bis.bch,-0.351881,9970,3.72335,NA,NA,1,4982,4982,0,4996,4996
2,depth_k_rand,ex6_1_3bis.bch,-0.351881,9970,3.74289,NA,NA,1,4966,4966,0,4996,4996
4,depth_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.75432,NA,NA,1,5182,5182,0,5196,5196
5,depth_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.75591,NA,NA,1,5166,5166,0,5196,5196
3,depth_k_rand,ex6_1_3bis.bch,-0.351881,9970,3.77783,NA,NA,1,4982,4982,0,4996,4996
0,depth_k_rand,ex6_1_3bis.bch,-0.351885,9968,3.78736,NA,NA,1,4965,4965,0,4995,4995
6,depth_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.65597,NA,NA,1,5166,5166,0,5196,5196
8,depth_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.65569,NA,NA,1,5182,5182,0,5196,5196
7,depth_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.67265,NA,NA,1,5182,5182,0,5196,5196
9,depth_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.69352,NA,NA,1,5166,5166,0,5196,5196
