run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,depth_k_rand,himmel16.bch,-0.865302,3000,5.5058,NA,NA,1,1726,1726,0,1728,1728
5,depth_k_rand,himmel16.bch,-0.865302,3000,5.52997,NA,NA,1,1726,1726,0,1728,1728
1,depth_k_rand,himmel16.bch,-0.865327,3864,7.86628,NA,NA,1,2206,2206,0,2208,2208
0,depth_k_rand,himmel16.bch,-0.865327,3864,7.86661,NA,NA,1,2206,2206,0,2208,2208
2,depth_k_rand,himmel16.bch,-0.865327,3864,7.87267,NA,NA,1,2206,2206,0,2208,2208
4,depth_k_rand,himmel16.bch,-0.865327,3864,7.89152,NA,NA,1,2206,2206,0,2208,2208
7,depth_k_rand,himmel16.bch,-0.865503,2668,5.05133,NA,NA,1,1399,1399,0,1401,1401
6,depth_k_rand,himmel16.bch,-0.865302,3000,5.48089,NA,NA,1,1726,1726,0,1728,1728
8,depth_k_rand,himmel16.bch,-0.865302,3000,5.27525,NA,NA,1,1726,1726,0,1728,1728
9,depth_k_rand,himmel16.bch,-0.865302,3000,5.2774,NA,NA,1,1726,1726,0,1728,1728
