run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,depth_k_rand,launch.bch,2259.76,11688,61.3492,NA,NA,1,7268,7268,0,7270,7270
4,depth_k_rand,launch.bch,2259.77,11948,66.7087,NA,NA,1,7556,7556,0,7558,7558
1,depth_k_rand,launch.bch,2259.05,16176,93.1417,NA,NA,1,10527,10527,0,10529,10529
5,depth_k_rand,launch.bch,2257.8,15576,97.1853,NA,NA,1,10423,10423,0,10425,10425
2,depth_k_rand,launch.bch,2257.8,20312,105.339,NA,NA,1,13367,13367,0,13369,13369
0,depth_k_rand,launch.bch,2257.8,20390,105.436,NA,NA,1,13361,13361,0,13363,13363
9,depth_k_rand,launch.bch,2258.89,5138,38.8339,NA,NA,1,3682,3682,0,3684,3684
6,depth_k_rand,launch.bch,2258.08,17260,87.7526,NA,NA,1,10963,10963,0,10965,10965
8,depth_k_rand,launch.bch,2257.81,15318,82.5021,NA,NA,1,9511,9511,0,9513,9513
7,depth_k_rand,launch.bch,2257.8,21512,113.481,NA,NA,1,13634,13634,0,13636,13636
