run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,vol_k,alkylbis.bch,-1.76398,156,0.180555,NA,NA,1,133,0,133,133,0
4,vol_k,alkylbis.bch,-1.76383,156,0.182253,NA,NA,1,137,0,137,138,1
5,vol_k,alkylbis.bch,-1.76383,156,0.182706,NA,NA,1,138,0,138,138,0
2,vol_k,alkylbis.bch,-1.76344,168,0.193466,NA,NA,1,145,0,145,145,0
1,vol_k,alkylbis.bch,-1.76432,170,0.198049,NA,NA,1,156,0,156,156,0
0,vol_k,alkylbis.bch,-1.76432,170,0.200183,NA,NA,1,156,0,156,156,0
9,vol_k,alkylbis.bch,-1.76438,114,0.138405,NA,NA,1,98,0,98,98,0
8,vol_k,alkylbis.bch,-1.76365,142,0.167096,NA,NA,1,123,0,123,125,2
7,vol_k,alkylbis.bch,-1.76365,142,0.167325,NA,NA,1,125,0,125,125,0
6,vol_k,alkylbis.bch,-1.76377,156,0.179435,NA,NA,1,134,0,134,134,0
