run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,vol_k,alkyl.bch,-1.76446,148,0.176148,NA,NA,1
1,vol_k,alkyl.bch,-1.76446,148,0.171771,NA,NA,1
2,vol_k,alkyl.bch,-1.76446,148,0.173014,NA,NA,1
3,vol_k,alkyl.bch,-1.76446,148,0.177133,NA,NA,1
4,vol_k,alkyl.bch,-1.76446,148,0.175207,NA,NA,1
5,vol_k,alkyl.bch,-1.76446,148,0.18509,NA,NA,1
6,vol_k,alkyl.bch,-1.76446,148,0.176201,NA,NA,1
7,vol_k,alkyl.bch,-1.76446,148,0.232965,NA,NA,1
8,vol_k,alkyl.bch,-1.76446,148,0.231539,NA,NA,1
9,vol_k,alkyl.bch,-1.76446,148,0.232243,NA,NA,1
0,vol_k,alkylbis.bch,-1.76426,106,0.176336,NA,NA,1
1,vol_k,alkylbis.bch,-1.76426,106,0.17756,NA,NA,1
2,vol_k,alkylbis.bch,-1.76426,106,0.177313,NA,NA,1
3,vol_k,alkylbis.bch,-1.76426,106,0.177336,NA,NA,1
4,vol_k,alkylbis.bch,-1.76426,106,0.177186,NA,NA,1
5,vol_k,alkylbis.bch,-1.76426,106,0.176108,NA,NA,1
6,vol_k,alkylbis.bch,-1.76426,106,0.176361,NA,NA,1
7,vol_k,alkylbis.bch,-1.76426,106,0.176856,NA,NA,1
8,vol_k,alkylbis.bch,-1.76426,106,0.177059,NA,NA,1
9,vol_k,alkylbis.bch,-1.76426,106,0.176646,NA,NA,1
0,vol_k,bearing.bch,1.95108,9350,12.1484,NA,NA,1
1,vol_k,bearing.bch,1.95108,9350,13.8666,NA,NA,1
2,vol_k,bearing.bch,1.95108,9350,15.185,NA,NA,1
3,vol_k,bearing.bch,1.95108,9350,15.1716,NA,NA,1
4,vol_k,bearing.bch,1.95108,9350,15.2018,NA,NA,1
5,vol_k,bearing.bch,1.95108,9350,15.1294,NA,NA,1
6,vol_k,bearing.bch,1.95108,9350,15.1932,NA,NA,1
7,vol_k,bearing.bch,1.95108,9350,15.1931,NA,NA,1
8,vol_k,bearing.bch,1.95108,9350,15.2208,NA,NA,1
9,vol_k,bearing.bch,1.95108,9350,15.1733,NA,NA,1
0,vol_k,ex14_2_3.bch,1.31417e-09,15294,14.9643,NA,NA,1
1,vol_k,ex14_2_3.bch,1.31417e-09,15294,14.8813,NA,NA,1
2,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.0902,NA,NA,1
3,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.0456,NA,NA,1
4,vol_k,ex14_2_3.bch,1.31417e-09,15294,12.737,NA,NA,1
5,vol_k,ex14_2_3.bch,1.31417e-09,15294,14.8425,NA,NA,1
6,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.0113,NA,NA,1
7,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.1589,NA,NA,1
8,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.3652,NA,NA,1
9,vol_k,ex14_2_3.bch,1.31417e-09,15294,14.961,NA,NA,1
3,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1366.29,NA,NA,1
0,vol_k,ex2_1_7.bch,-4150.41,1250,2.9967,NA,NA,1
1,vol_k,ex2_1_7.bch,-4150.41,1250,2.9606,NA,NA,1
2,vol_k,ex2_1_7.bch,-4150.41,1250,2.98323,NA,NA,1
3,vol_k,ex2_1_7.bch,-4150.41,1250,2.97008,NA,NA,1
4,vol_k,ex2_1_7.bch,-4150.41,1250,2.97214,NA,NA,1
0,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1390.57,NA,NA,1
5,vol_k,ex2_1_7.bch,-4150.41,1250,3.02709,NA,NA,1
6,vol_k,ex2_1_7.bch,-4150.41,1250,4.09987,NA,NA,1
7,vol_k,ex2_1_7.bch,-4150.41,1250,2.96932,NA,NA,1
8,vol_k,ex2_1_7.bch,-4150.41,1250,4.06221,NA,NA,1
9,vol_k,ex2_1_7.bch,-4150.41,1250,2.95522,NA,NA,1
1,vol_k,ex2_1_8.bch,15639,376,1.50819,NA,NA,1
0,vol_k,ex2_1_8.bch,15639,376,2.06683,NA,NA,1
2,vol_k,ex2_1_8.bch,15639,376,1.5204,NA,NA,1
3,vol_k,ex2_1_8.bch,15639,376,2.06909,NA,NA,1
4,vol_k,ex2_1_8.bch,15639,376,1.68952,NA,NA,1
5,vol_k,ex2_1_8.bch,15639,376,2.03123,NA,NA,1
6,vol_k,ex2_1_8.bch,15639,376,1.95372,NA,NA,1
7,vol_k,ex2_1_8.bch,15639,376,1.92766,NA,NA,1
8,vol_k,ex2_1_8.bch,15639,376,2.03188,NA,NA,1
9,vol_k,ex2_1_8.bch,15639,376,2.01602,NA,NA,1
0,vol_k,ex2_1_9.bch,-0.374994,3134,3.91223,NA,NA,1
1,vol_k,ex2_1_9.bch,-0.374994,3134,3.90599,NA,NA,1
2,vol_k,ex2_1_9.bch,-0.374994,3134,3.17849,NA,NA,1
3,vol_k,ex2_1_9.bch,-0.374994,3134,3.94871,NA,NA,1
4,vol_k,ex2_1_9.bch,-0.374994,3134,3.96448,NA,NA,1
5,vol_k,ex2_1_9.bch,-0.374994,3134,3.95423,NA,NA,1
6,vol_k,ex2_1_9.bch,-0.374994,3134,3.9466,NA,NA,1
7,vol_k,ex2_1_9.bch,-0.374994,3134,3.94419,NA,NA,1
8,vol_k,ex2_1_9.bch,-0.374994,3134,3.94623,NA,NA,1
0,vol_k,ex5_2_2_case3.bch,-750,46,0.060622,NA,NA,1
1,vol_k,ex5_2_2_case3.bch,-750,46,0.060568,NA,NA,1
2,vol_k,ex5_2_2_case3.bch,-750,46,0.060545,NA,NA,1
3,vol_k,ex5_2_2_case3.bch,-750,46,0.060557,NA,NA,1
4,vol_k,ex5_2_2_case3.bch,-750,46,0.060532,NA,NA,1
5,vol_k,ex5_2_2_case3.bch,-750,46,0.060663,NA,NA,1
6,vol_k,ex5_2_2_case3.bch,-750,46,0.060665,NA,NA,1
7,vol_k,ex5_2_2_case3.bch,-750,46,0.060638,NA,NA,1
8,vol_k,ex5_2_2_case3.bch,-750,46,0.060555,NA,NA,1
9,vol_k,ex5_2_2_case3.bch,-750,46,0.060404,NA,NA,1
0,vol_k,ex5_3_2.bch,1.86416,38,0.216067,NA,NA,1
1,vol_k,ex5_3_2.bch,1.86416,38,0.215193,NA,NA,1
2,vol_k,ex5_3_2.bch,1.86416,38,0.215146,NA,NA,1
3,vol_k,ex5_3_2.bch,1.86416,38,0.214908,NA,NA,1
9,vol_k,ex2_1_9.bch,-0.374994,3134,3.60767,NA,NA,1
5,vol_k,ex5_3_2.bch,1.86416,38,0.157803,NA,NA,1
4,vol_k,ex5_3_2.bch,1.86416,38,0.216432,NA,NA,1
6,vol_k,ex5_3_2.bch,1.86416,38,0.15741,NA,NA,1
7,vol_k,ex5_3_2.bch,1.86416,38,0.215448,NA,NA,1
8,vol_k,ex5_3_2.bch,1.86416,38,0.157817,NA,NA,1
9,vol_k,ex5_3_2.bch,1.86416,38,0.21483,NA,NA,1
0,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.28867,NA,NA,1
1,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.30409,NA,NA,1
2,vol_k,ex6_1_3bis.bch,-0.35188,10388,4.05732,NA,NA,1
3,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.4258,NA,NA,1
4,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.13561,NA,NA,1
5,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.42449,NA,NA,1
6,vol_k,ex6_1_3bis.bch,-0.35188,10388,3.93303,NA,NA,1
7,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.42778,NA,NA,1
8,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.45214,NA,NA,1
0,vol_k,ex6_1_4.bch,-0.294507,136,0.115183,NA,NA,1
1,vol_k,ex6_1_4.bch,-0.294507,136,0.115748,NA,NA,1
2,vol_k,ex6_1_4.bch,-0.294507,136,0.114637,NA,NA,1
3,vol_k,ex6_1_4.bch,-0.294507,136,0.115108,NA,NA,1
4,vol_k,ex6_1_4.bch,-0.294507,136,0.11507,NA,NA,1
5,vol_k,ex6_1_4.bch,-0.294507,136,0.115368,NA,NA,1
6,vol_k,ex6_1_4.bch,-0.294507,136,0.115465,NA,NA,1
7,vol_k,ex6_1_4.bch,-0.294507,136,0.114719,NA,NA,1
8,vol_k,ex6_1_4.bch,-0.294507,136,0.115096,NA,NA,1
9,vol_k,ex6_1_4.bch,-0.294507,136,0.115294,NA,NA,1
9,vol_k,ex6_1_3bis.bch,-0.35188,10388,5.4583,NA,NA,1
1,vol_k,ex6_2_11.bch,-2.6724e-06,44872,19.6404,NA,NA,1
0,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.08,NA,NA,1
2,vol_k,ex6_2_11.bch,-2.6724e-06,44872,21.9537,NA,NA,1
3,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.1114,NA,NA,1
4,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.0057,NA,NA,1
5,vol_k,ex6_2_11.bch,-2.6724e-06,44872,22.9797,NA,NA,1
6,vol_k,ex6_2_11.bch,-2.6724e-06,44872,17.2485,NA,NA,1
7,vol_k,ex6_2_11.bch,-2.6724e-06,44872,22.9541,NA,NA,1
8,vol_k,ex6_2_11.bch,-2.6724e-06,44872,18.4838,NA,NA,1
9,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.0107,NA,NA,1
0,vol_k,ex6_2_12.bch,0.289195,29266,12.9842,NA,NA,1
1,vol_k,ex6_2_12.bch,0.289195,29266,12.965,NA,NA,1
2,vol_k,ex6_2_12.bch,0.289195,29266,12.8829,NA,NA,1
3,vol_k,ex6_2_12.bch,0.289195,29266,12.8994,NA,NA,1
4,vol_k,ex6_2_12.bch,0.289195,29266,12.927,NA,NA,1
5,vol_k,ex6_2_12.bch,0.289195,29266,12.9702,NA,NA,1
6,vol_k,ex6_2_12.bch,0.289195,29266,12.9653,NA,NA,1
7,vol_k,ex6_2_12.bch,0.289195,29266,12.9071,NA,NA,1
8,vol_k,ex6_2_12.bch,0.289195,29266,13.1358,NA,NA,1
2,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1621.05,NA,NA,1
0,vol_k,ex6_2_14.bch,-0.695358,4896,2.503,NA,NA,1
1,vol_k,ex6_2_14.bch,-0.695358,4896,2.48817,NA,NA,1
2,vol_k,ex6_2_14.bch,-0.695358,4896,2.50808,NA,NA,1
3,vol_k,ex6_2_14.bch,-0.695358,4896,2.48508,NA,NA,1
4,vol_k,ex6_2_14.bch,-0.695358,4896,2.50007,NA,NA,1
5,vol_k,ex6_2_14.bch,-0.695358,4896,2.49204,NA,NA,1
6,vol_k,ex6_2_14.bch,-0.695358,4896,2.50218,NA,NA,1
7,vol_k,ex6_2_14.bch,-0.695358,4896,2.48895,NA,NA,1
9,vol_k,ex6_2_12.bch,0.289195,29266,12.9038,NA,NA,1
8,vol_k,ex6_2_14.bch,-0.695358,4896,2.49052,NA,NA,1
9,vol_k,ex6_2_14.bch,-0.695358,4896,2.50632,NA,NA,1
7,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1563.01,NA,NA,1
8,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1559.08,NA,NA,1
1,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1683.96,NA,NA,1
4,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1676.27,NA,NA,1
6,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1646.91,NA,NA,1
5,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1680.94,NA,NA,1
9,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1702.3,NA,NA,1
7,vol_k,chem-1.bch,-47.7063,6916092,7313.64,NA,NA,1
2,vol_k,chem-1.bch,-47.7063,6916092,7452.68,NA,NA,1
9,vol_k,chem-1.bch,-47.7063,6916092,7394.37,NA,NA,1
0,vol_k,ex6_1_3.bch,-0.352361,212064,350.552,NA,NA,1
3,vol_k,chem-1.bch,-47.7063,6916092,7743.4,NA,NA,1
0,vol_k,chem-1.bch,-47.7063,6916092,7795.65,NA,NA,1
1,vol_k,ex6_1_3.bch,-0.352361,212064,367.502,NA,NA,1
4,vol_k,chem-1.bch,-47.7063,6916092,7826.62,NA,NA,1
2,vol_k,ex6_1_3.bch,-0.352361,212064,401.092,NA,NA,1
8,vol_k,chem-1.bch,-47.7063,6916092,7904.71,NA,NA,1
6,vol_k,chem-1.bch,-47.7063,6916092,7954.11,NA,NA,1
1,vol_k,chem-1.bch,-47.7063,6916092,8083.13,NA,NA,1
3,vol_k,ex6_1_3.bch,-0.352361,212064,367.764,NA,NA,1
5,vol_k,ex6_1_3.bch,-0.352361,212064,324.668,NA,NA,1
5,vol_k,chem-1.bch,-47.7063,6916092,8083.64,NA,NA,1
4,vol_k,ex6_1_3.bch,-0.352361,212064,386.161,NA,NA,1
6,vol_k,ex6_1_3.bch,-0.352361,212064,367.865,NA,NA,1
7,vol_k,ex6_1_3.bch,-0.352361,212064,399.731,NA,NA,1
9,vol_k,ex6_1_3.bch,-0.352361,212064,362.876,NA,NA,1
8,vol_k,ex6_1_3.bch,-0.352361,212064,396.037,NA,NA,1
4,vol_k,ex6_2_10.bch,-3.05197,2111714,1206.47,NA,NA,1
0,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.73269,NA,NA,1
1,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.74226,NA,NA,1
2,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.73433,NA,NA,1
3,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.75456,NA,NA,1
4,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.73599,NA,NA,1
5,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.75937,NA,NA,1
2,vol_k,ex6_2_10.bch,-3.05197,2111714,1263.01,NA,NA,1
6,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.73535,NA,NA,1
7,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.06477,NA,NA,1
9,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.04253,NA,NA,1
8,vol_k,ex8_5_1bis.bch,-4.99396e-07,2132,2.75365,NA,NA,1
0,vol_k,ex6_2_10.bch,-3.05197,2111714,1443.49,NA,NA,1
1,vol_k,ex6_2_10.bch,-3.05197,2111714,1485.35,NA,NA,1
3,vol_k,ex6_2_10.bch,-3.05197,2111714,1481.73,NA,NA,1
5,vol_k,ex6_2_10.bch,-3.05197,2111714,1464.46,NA,NA,1
6,vol_k,ex6_2_10.bch,-3.05197,2111714,1490.96,NA,NA,1
9,vol_k,ex6_2_10.bch,-3.05197,2111714,1356.77,NA,NA,1
8,vol_k,ex6_2_10.bch,-3.05197,2111714,1379.44,NA,NA,1
7,vol_k,ex6_2_10.bch,-3.05197,2111714,1496.51,NA,NA,1
7,vol_k,alkyl.bch,-1.76446,148,0.206408,NA,NA,1
1,vol_k,alkyl.bch,-1.76446,148,0.193936,NA,NA,1
9,vol_k,alkyl.bch,-1.76446,148,0.2354,NA,NA,1
6,vol_k,alkyl.bch,-1.76446,148,0.243818,NA,NA,1
0,vol_k,alkyl.bch,-1.76446,148,0.246661,NA,NA,1
8,vol_k,alkyl.bch,-1.76446,148,0.24622,NA,NA,1
2,vol_k,alkyl.bch,-1.76446,148,0.24655,NA,NA,1
4,vol_k,alkyl.bch,-1.76446,148,0.244083,NA,NA,1
