run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers
4,vol_k,ex2_1_8.bch,15639,314,1.30504,NA,NA,1,0
3,vol_k,ex2_1_8.bch,15639,340,1.31302,NA,NA,1,0
1,vol_k,ex2_1_8.bch,15639,324,1.31892,NA,NA,1,0
2,vol_k,ex2_1_8.bch,15639,330,1.34595,NA,NA,1,0
5,vol_k,ex2_1_8.bch,15639,330,1.41508,NA,NA,1,0
0,vol_k,ex2_1_8.bch,15639,360,1.48653,NA,NA,1,0
6,vol_k,ex2_1_8.bch,15639,320,1.30159,NA,NA,1,0
8,vol_k,ex2_1_8.bch,15639,324,1.30639,NA,NA,1,0
9,vol_k,ex2_1_8.bch,15639,330,1.30581,NA,NA,1,0
7,vol_k,ex2_1_8.bch,15639,376,1.49353,NA,NA,1,0
