run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k,ex5_2_2_case3.bch,-750,10,0.011181,NA,NA,1,4,0,4,4,0
4,vol_k,ex5_2_2_case3.bch,-750,56,0.051081,NA,NA,1,44,0,44,44,0
5,vol_k,ex5_2_2_case3.bch,-750,56,0.051502,NA,NA,1,44,0,44,44,0
2,vol_k,ex5_2_2_case3.bch,-750,56,0.052405,NA,NA,1,42,0,42,44,2
0,vol_k,ex5_2_2_case3.bch,-750,82,0.069205,NA,NA,1,63,0,63,63,0
6,vol_k,ex5_2_2_case3.bch,-750,56,0.051803,NA,NA,1,43,0,43,44,1
3,vol_k,ex5_2_2_case3.bch,-750,82,0.071502,NA,NA,1,63,0,63,63,0
7,vol_k,ex5_2_2_case3.bch,-750,44,0.042997,NA,NA,1,32,0,32,33,1
9,vol_k,ex5_2_2_case3.bch,-750,50,0.043308,NA,NA,1,34,0,34,34,0
8,vol_k,ex5_2_2_case3.bch,-750,48,0.045362,NA,NA,1,35,0,35,36,1
