run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers
0,vol_k,ex6_1_3bis.bch,-0.35188,9982,4.20149,NA,NA,1,0
4,vol_k,ex6_1_3bis.bch,-0.35188,10016,4.27638,NA,NA,1,0
1,vol_k,ex6_1_3bis.bch,-0.35188,9982,4.29527,NA,NA,1,0
3,vol_k,ex6_1_3bis.bch,-0.35188,10016,4.29451,NA,NA,1,0
5,vol_k,ex6_1_3bis.bch,-0.35188,10016,4.36286,NA,NA,1,0
2,vol_k,ex6_1_3bis.bch,-0.35188,9982,4.4923,NA,NA,1,0
6,vol_k,ex6_1_3bis.bch,-0.35188,10016,3.61883,NA,NA,1,0
8,vol_k,ex6_1_3bis.bch,-0.35188,10016,3.6345,NA,NA,1,0
7,vol_k,ex6_1_3bis.bch,-0.35188,10016,3.66607,NA,NA,1,0
9,vol_k,ex6_1_3bis.bch,-0.35188,10016,3.63778,NA,NA,1,0
