run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
6,vol_k,ex6_2_10.bch,-3.05197,2109390,1301.3,NA,NA,1
1,vol_k,ex6_2_10.bch,-3.05197,2093610,1322.04,NA,NA,1
3,vol_k,ex6_2_10.bch,-3.05197,2093610,1352.52,NA,NA,1
4,vol_k,ex6_2_10.bch,-3.05197,2093610,1364.88,NA,NA,1
5,vol_k,ex6_2_10.bch,-3.05197,2109390,1401.07,NA,NA,1
2,vol_k,ex6_2_10.bch,-3.05197,2093610,1432.22,NA,NA,1
7,vol_k,ex6_2_10.bch,-3.05197,2109390,1461.76,NA,NA,1
9,vol_k,ex6_2_10.bch,-3.05197,2109390,1464.43,NA,NA,1
8,vol_k,ex6_2_10.bch,-3.05197,2109390,1465.67,NA,NA,1
0,vol_k,ex6_2_10.bch,-3.05197,2113958,1475.8,NA,NA,1
