run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
0,vol_k,ex6_2_6.bch,-2.60252e-06,257876,125.374,NA,NA,1,128937,0,128937,128937,0
1,vol_k,ex6_2_6.bch,-2.60253e-06,257804,125.46,NA,NA,1,128901,0,128901,128901,0
4,vol_k,ex6_2_6.bch,-2.60253e-06,257074,126.115,NA,NA,1,128536,0,128536,128536,0
3,vol_k,ex6_2_6.bch,-2.60252e-06,257662,126.233,NA,NA,1,128830,0,128830,128830,0
5,vol_k,ex6_2_6.bch,-2.60253e-06,256768,126.786,NA,NA,1,128383,0,128383,128383,0
2,vol_k,ex6_2_6.bch,-2.60252e-06,258558,128.938,NA,NA,1,129278,0,129278,129278,0
7,vol_k,ex6_2_6.bch,-2.60252e-06,257402,119.907,NA,NA,1,128700,0,128700,128700,0
9,vol_k,ex6_2_6.bch,-2.60253e-06,256362,119.964,NA,NA,1,128180,0,128180,128180,0
6,vol_k,ex6_2_6.bch,-2.60253e-06,258514,121.248,NA,NA,1,129256,0,129256,129256,0
8,vol_k,ex6_2_6.bch,-2.60253e-06,257822,121.097,NA,NA,1,128910,0,128910,128910,0
