run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
0,vol_k,ex8_4_4bis.bch,0.212464,278924,97.328,NA,NA,1,139356,0,139356,139472,116
1,vol_k,ex8_4_4bis.bch,0.212462,281304,98.9942,NA,NA,1,140558,0,140558,140669,111
4,vol_k,ex8_4_4bis.bch,0.212463,287136,99.5658,NA,NA,1,143442,0,143442,143587,145
2,vol_k,ex8_4_4bis.bch,0.212463,285476,100.013,NA,NA,1,142640,0,142640,142760,120
5,vol_k,ex8_4_4bis.bch,0.212466,284086,100.955,NA,NA,1,141928,0,141928,142069,141
3,vol_k,ex8_4_4bis.bch,0.212468,293056,101.889,NA,NA,1,146421,0,146421,146543,122
7,vol_k,ex8_4_4bis.bch,0.212462,275406,94.2346,NA,NA,1,137582,0,137582,137702,120
6,vol_k,ex8_4_4bis.bch,0.212468,287960,96.9628,NA,NA,1,143905,0,143905,144019,114
9,vol_k,ex8_4_4bis.bch,0.212465,281616,95.1017,NA,NA,1,140717,0,140717,140818,101
8,vol_k,ex8_4_4bis.bch,0.212465,284570,96.4651,NA,NA,1,142167,0,142167,142300,133
