run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k,haverly.bch,-400,128,0.157744,NA,NA,1,94,0,94,96,2
5,vol_k,haverly.bch,-399.849,128,0.165066,NA,NA,1,92,0,92,93,1
4,vol_k,haverly.bch,-399.849,134,0.166176,NA,NA,1,94,0,94,95,1
0,vol_k,haverly.bch,-400,132,0.169358,NA,NA,1,96,0,96,97,1
2,vol_k,haverly.bch,-400,144,0.176688,NA,NA,1,103,0,103,104,1
3,vol_k,haverly.bch,-400,144,0.180438,NA,NA,1,103,0,103,104,1
6,vol_k,haverly.bch,-399.872,138,0.170398,NA,NA,1,100,0,100,100,0
7,vol_k,haverly.bch,-399.872,138,0.169396,NA,NA,1,100,0,100,100,0
9,vol_k,haverly.bch,-400,132,0.166642,NA,NA,1,94,0,94,97,3
8,vol_k,haverly.bch,-399.872,138,0.171042,NA,NA,1,99,0,99,100,1
