run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,vol_k,like.bch,inf,2414,1.3441,NA,NA,0,932,0,932,935,3
5,vol_k,like.bch,inf,2414,1.34381,NA,NA,0,932,0,932,935,3
0,vol_k,like.bch,inf,2414,1.34529,NA,NA,0,934,0,934,935,1
2,vol_k,like.bch,inf,2414,1.34993,NA,NA,0,934,0,934,935,1
4,vol_k,like.bch,inf,2414,1.35305,NA,NA,0,932,0,932,935,3
1,vol_k,like.bch,inf,2414,1.38199,NA,NA,0,934,0,934,935,1
7,vol_k,like.bch,inf,2414,1.30267,NA,NA,0,932,0,932,935,3
6,vol_k,like.bch,inf,2414,1.31906,NA,NA,0,932,0,932,935,3
8,vol_k,like.bch,inf,2414,1.32044,NA,NA,0,932,0,932,935,3
9,vol_k,like.bch,inf,2414,1.31413,NA,NA,0,932,0,932,935,3
