run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,vol_k_rand,alkyl.bch,-1.76331,136,0.154477,NA,NA,1,114,0,114,114,0
3,vol_k_rand,alkyl.bch,-1.76444,150,0.169451,NA,NA,1,134,0,134,134,0
4,vol_k_rand,alkyl.bch,-1.76451,158,0.178429,NA,NA,1,140,0,140,141,1
5,vol_k_rand,alkyl.bch,-1.76451,158,0.179462,NA,NA,1,140,0,140,141,1
0,vol_k_rand,alkyl.bch,-1.76362,186,0.213667,NA,NA,1,165,0,165,165,0
1,vol_k_rand,alkyl.bch,-1.76362,186,0.214941,NA,NA,1,164,0,164,165,1
6,vol_k_rand,alkyl.bch,-1.76457,144,0.157194,NA,NA,1,129,0,129,129,0
7,vol_k_rand,alkyl.bch,-1.76358,152,0.163919,NA,NA,1,133,0,133,135,2
8,vol_k_rand,alkyl.bch,-1.76358,152,0.162129,NA,NA,1,135,0,135,135,0
9,vol_k_rand,alkyl.bch,-1.76495,152,0.160775,NA,NA,1,136,0,136,136,0
