run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
7,vol_k_rand,alkyl.bch,-1.76446,148,0.175846,NA,NA,1
5,vol_k_rand,alkyl.bch,-1.76446,148,0.177916,NA,NA,1
8,vol_k_rand,alkyl.bch,-1.76446,148,0.228064,NA,NA,1
3,vol_k_rand,alkyl.bch,-1.76446,148,0.225063,NA,NA,1
6,vol_k_rand,alkyl.bch,-1.76446,148,0.243808,NA,NA,1
4,vol_k_rand,alkyl.bch,-1.76446,148,0.244139,NA,NA,1
2,vol_k_rand,alkyl.bch,-1.76446,148,0.244157,NA,NA,1
1,vol_k_rand,alkyl.bch,-1.76446,148,0.246959,NA,NA,1
9,vol_k_rand,alkyl.bch,-1.76446,148,0.233078,NA,NA,1
0,vol_k_rand,alkyl.bch,-1.76446,148,0.241977,NA,NA,1
1,vol_k_rand,alkylbis.bch,-1.76426,106,0.17182,NA,NA,1
0,vol_k_rand,alkylbis.bch,-1.76426,106,0.184791,NA,NA,1
6,vol_k_rand,alkylbis.bch,-1.76426,106,0.142755,NA,NA,1
7,vol_k_rand,alkylbis.bch,-1.76426,106,0.13691,NA,NA,1
2,vol_k_rand,alkylbis.bch,-1.76426,106,0.182612,NA,NA,1
3,vol_k_rand,alkylbis.bch,-1.76426,106,0.185103,NA,NA,1
4,vol_k_rand,alkylbis.bch,-1.76426,106,0.167302,NA,NA,1
5,vol_k_rand,alkylbis.bch,-1.76426,106,0.185375,NA,NA,1
8,vol_k_rand,alkylbis.bch,-1.76426,106,0.184913,NA,NA,1
9,vol_k_rand,alkylbis.bch,-1.76426,106,0.182586,NA,NA,1
1,vol_k_rand,bearing.bch,1.95108,9350,11.1779,NA,NA,1
9,vol_k_rand,bearing.bch,1.95108,9350,11.2682,NA,NA,1
7,vol_k_rand,bearing.bch,1.95108,9350,14.0943,NA,NA,1
0,vol_k_rand,bearing.bch,1.95108,9350,14.4922,NA,NA,1
3,vol_k_rand,bearing.bch,1.95108,9350,14.8117,NA,NA,1
2,vol_k_rand,bearing.bch,1.95108,9350,15.1436,NA,NA,1
6,vol_k_rand,bearing.bch,1.95108,9350,15.1655,NA,NA,1
8,vol_k_rand,bearing.bch,1.95108,9350,15.154,NA,NA,1
5,vol_k_rand,bearing.bch,1.95108,9350,15.1836,NA,NA,1
4,vol_k_rand,bearing.bch,1.95108,9350,15.3795,NA,NA,1
3,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,11.0247,NA,NA,1
7,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,10.9765,NA,NA,1
0,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,15.2115,NA,NA,1
1,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,15.1786,NA,NA,1
2,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,14.6761,NA,NA,1
8,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,13.795,NA,NA,1
4,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,15.2188,NA,NA,1
6,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,15.2189,NA,NA,1
5,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,15.3487,NA,NA,1
9,vol_k_rand,ex14_2_3.bch,1.31417e-09,15294,15.5658,NA,NA,1
6,vol_k_rand,ex14_2_7.bch,2.14074e-09,1301172,1402.25,NA,NA,1
0,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.12757,NA,NA,1
1,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.04578,NA,NA,1
2,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.05258,NA,NA,1
3,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.04256,NA,NA,1
4,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.05379,NA,NA,1
5,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.07103,NA,NA,1
6,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.05398,NA,NA,1
7,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.06544,NA,NA,1
8,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.06329,NA,NA,1
9,vol_k_rand,ex2_1_7.bch,-4150.41,1250,4.0628,NA,NA,1
0,vol_k_rand,ex2_1_8.bch,15639,376,2.04838,NA,NA,1
1,vol_k_rand,ex2_1_8.bch,15639,376,2.05206,NA,NA,1
2,vol_k_rand,ex2_1_8.bch,15639,376,2.05721,NA,NA,1
3,vol_k_rand,ex2_1_8.bch,15639,376,2.05615,NA,NA,1
4,vol_k_rand,ex2_1_8.bch,15639,376,2.05794,NA,NA,1
5,vol_k_rand,ex2_1_8.bch,15639,376,2.07967,NA,NA,1
6,vol_k_rand,ex2_1_8.bch,15639,376,2.08255,NA,NA,1
7,vol_k_rand,ex2_1_8.bch,15639,376,2.08172,NA,NA,1
8,vol_k_rand,ex2_1_8.bch,15639,376,2.08322,NA,NA,1
9,vol_k_rand,ex2_1_8.bch,15639,376,2.08542,NA,NA,1
0,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.97152,NA,NA,1
1,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.92985,NA,NA,1
2,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.92044,NA,NA,1
3,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.91228,NA,NA,1
4,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.92186,NA,NA,1
5,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.96866,NA,NA,1
6,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.96758,NA,NA,1
7,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.97085,NA,NA,1
8,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.91479,NA,NA,1
9,vol_k_rand,ex2_1_9.bch,-0.374994,3134,3.92502,NA,NA,1
0,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.060914,NA,NA,1
1,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.061134,NA,NA,1
2,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.060907,NA,NA,1
3,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.061339,NA,NA,1
4,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.060175,NA,NA,1
5,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.060065,NA,NA,1
6,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.060369,NA,NA,1
7,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.061115,NA,NA,1
8,vol_k_rand,ex5_2_2_case3.bch,-750,46,0.060061,NA,NA,1
