run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k_rand,bearing.bch,1.95107,11474,11.3794,NA,NA,1,10542,0,10542,10563,21
5,vol_k_rand,bearing.bch,1.95158,10302,11.6923,NA,NA,1,9298,0,9298,9321,23
3,vol_k_rand,bearing.bch,1.95112,11212,12.2401,NA,NA,1,9937,0,9937,9965,28
0,vol_k_rand,bearing.bch,1.95111,14434,14.8709,NA,NA,1,13108,0,13108,13130,22
4,vol_k_rand,bearing.bch,1.95122,14704,15.237,NA,NA,1,13326,0,13326,13380,54
2,vol_k_rand,bearing.bch,1.95115,25340,23.3094,NA,NA,1,23243,0,23243,23311,68
6,vol_k_rand,bearing.bch,1.95114,10356,11.9518,NA,NA,1,9327,0,9327,9351,24
7,vol_k_rand,bearing.bch,1.95178,12904,14.0532,NA,NA,1,11760,0,11760,11810,50
9,vol_k_rand,bearing.bch,1.9512,16682,16.6157,NA,NA,1,14980,0,14980,15032,52
8,vol_k_rand,bearing.bch,1.9511,22278,20.6475,NA,NA,1,20390,0,20390,20468,78
