run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,vol_k_rand,ex2_1_9fact.bch,-0.374978,2928,2.50077,NA,NA,1,1461,0,1461,1463,2
1,vol_k_rand,ex2_1_9fact.bch,-0.374978,2928,2.50371,NA,NA,1,1462,0,1462,1463,1
3,vol_k_rand,ex2_1_9fact.bch,-0.374978,2928,2.51106,NA,NA,1,1463,0,1463,1463,0
4,vol_k_rand,ex2_1_9fact.bch,-0.374949,3062,2.63765,NA,NA,1,1530,0,1530,1534,4
5,vol_k_rand,ex2_1_9fact.bch,-0.374949,3062,2.66797,NA,NA,1,1531,0,1531,1534,3
0,vol_k_rand,ex2_1_9fact.bch,-0.374986,3156,2.76041,NA,NA,1,1575,0,1575,1578,3
8,vol_k_rand,ex2_1_9fact.bch,-0.374985,2978,2.47642,NA,NA,1,1487,0,1487,1489,2
6,vol_k_rand,ex2_1_9fact.bch,-0.374977,2946,2.52313,NA,NA,1,1470,0,1470,1474,4
7,vol_k_rand,ex2_1_9fact.bch,-0.374949,3062,2.57724,NA,NA,1,1534,0,1534,1534,0
9,vol_k_rand,ex2_1_9fact.bch,-0.374962,3094,2.57423,NA,NA,1,1544,0,1544,1550,6
