run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k_rand,ex5_2_2_case3.bch,-750,10,0.011237,NA,NA,1,4,0,4,4,0
5,vol_k_rand,ex5_2_2_case3.bch,-750,56,0.0517,NA,NA,1,44,0,44,44,0
4,vol_k_rand,ex5_2_2_case3.bch,-750,56,0.05175,NA,NA,1,44,0,44,44,0
2,vol_k_rand,ex5_2_2_case3.bch,-750,56,0.052503,NA,NA,1,42,0,42,44,2
6,vol_k_rand,ex5_2_2_case3.bch,-750,56,0.051609,NA,NA,1,43,0,43,44,1
0,vol_k_rand,ex5_2_2_case3.bch,-750,82,0.069446,NA,NA,1,63,0,63,63,0
3,vol_k_rand,ex5_2_2_case3.bch,-750,82,0.069157,NA,NA,1,63,0,63,63,0
7,vol_k_rand,ex5_2_2_case3.bch,-750,44,0.04221,NA,NA,1,32,0,32,33,1
9,vol_k_rand,ex5_2_2_case3.bch,-750,50,0.043402,NA,NA,1,34,0,34,34,0
8,vol_k_rand,ex5_2_2_case3.bch,-750,48,0.045424,NA,NA,1,35,0,35,36,1
