run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
5,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.65258,NA,NA,1
2,vol_k_rand,ex6_1_3bis.bch,-0.35188,9982,3.65439,NA,NA,1
1,vol_k_rand,ex6_1_3bis.bch,-0.35188,9982,3.65755,NA,NA,1
0,vol_k_rand,ex6_1_3bis.bch,-0.35188,9982,3.65789,NA,NA,1
3,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.66572,NA,NA,1
4,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.67148,NA,NA,1
7,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.5636,NA,NA,1
9,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.56712,NA,NA,1
8,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.64285,NA,NA,1
6,vol_k_rand,ex6_1_3bis.bch,-0.35188,10016,3.58392,NA,NA,1
