run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k_rand,haverly.bch,-400,128,0.157523,NA,NA,1,94,0,94,96,2
5,vol_k_rand,haverly.bch,-399.849,128,0.163041,NA,NA,1,92,0,92,93,1
4,vol_k_rand,haverly.bch,-399.849,134,0.167974,NA,NA,1,94,0,94,95,1
0,vol_k_rand,haverly.bch,-400,132,0.168121,NA,NA,1,96,0,96,97,1
3,vol_k_rand,haverly.bch,-400,144,0.175984,NA,NA,1,103,0,103,104,1
2,vol_k_rand,haverly.bch,-400,144,0.178435,NA,NA,1,103,0,103,104,1
6,vol_k_rand,haverly.bch,-399.872,138,0.170713,NA,NA,1,100,0,100,100,0
7,vol_k_rand,haverly.bch,-399.872,138,0.169261,NA,NA,1,100,0,100,100,0
9,vol_k_rand,haverly.bch,-400,132,0.165297,NA,NA,1,94,0,94,97,3
8,vol_k_rand,haverly.bch,-399.872,138,0.171073,NA,NA,1,99,0,99,100,1
