run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
8,vol_k,sambal.bch,3.96869,1809300,4353.47,NA,NA,1
5,vol_k,sambal.bch,3.96869,1809300,4493.71,NA,NA,1
7,vol_k,sambal.bch,3.96869,1809300,4496.35,NA,NA,1
0,vol_k,sambal.bch,3.96869,1809300,4535.81,NA,NA,1
4,vol_k,sambal.bch,3.96869,1809300,4650.39,NA,NA,1
9,vol_k,sambal.bch,3.96869,1809300,4655.93,NA,NA,1
6,vol_k,sambal.bch,3.96869,1809300,4691.82,NA,NA,1
1,vol_k,sambal.bch,3.96869,1809300,4725.34,NA,NA,1
3,vol_k,sambal.bch,3.96869,1809300,4745.73,NA,NA,1
2,vol_k,sambal.bch,3.96869,1809300,4808.01,NA,NA,1
