run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,depth_k_rand,ex6_1_4.bch,-0.294362,108,0.069851,NA,NA,1,51,51,0,53,53
0,depth_k_rand,ex6_1_4.bch,-0.294467,128,0.074444,NA,NA,1,61,61,0,63,63
5,depth_k_rand,ex6_1_4.bch,-0.294318,118,0.075735,NA,NA,1,56,56,0,58,58
2,depth_k_rand,ex6_1_4.bch,-0.294459,118,0.078484,NA,NA,1,57,57,0,59,59
1,depth_k_rand,ex6_1_4.bch,-0.294521,128,0.080721,NA,NA,1,64,64,0,66,66
3,depth_k_rand,ex6_1_4.bch,-0.294364,136,0.082948,NA,NA,1,66,66,0,68,68
6,depth_k_rand,ex6_1_4.bch,-0.294318,118,0.075196,NA,NA,1,56,56,0,58,58
8,depth_k_rand,ex6_1_4.bch,-0.294474,132,0.077993,NA,NA,1,65,65,0,67,67
9,depth_k_rand,ex6_1_4.bch,-0.294426,134,0.07914,NA,NA,1,65,65,0,67,67
7,depth_k_rand,ex6_1_4.bch,-0.294497,222,0.138464,NA,NA,1,136,136,0,138,138
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k_rand,ex14_2_3.bch,1.19915e-09,7704,5.84308,NA,NA,1,4168,4168,0,4170,4170
3,depth_k_rand,ex14_2_3.bch,1.19915e-09,7704,5.88164,NA,NA,1,4168,4168,0,4170,4170
5,depth_k_rand,ex14_2_3.bch,3.82058e-08,11650,7.29305,NA,NA,1,6692,6692,0,6694,6694
2,depth_k_rand,ex14_2_3.bch,1.03083e-09,10946,8.03437,NA,NA,1,5650,5650,0,5652,5652
4,depth_k_rand,ex14_2_3.bch,1.00562e-09,11210,8.10476,NA,NA,1,5758,5758,0,5760,5760
8,depth_k_rand,ex14_2_3.bch,3.81747e-08,6792,5.00575,NA,NA,1,3692,3692,0,3694,3694
0,depth_k_rand,ex14_2_3.bch,1.27445e-09,20096,13.3118,NA,NA,1,10346,10346,0,10348,10348
6,depth_k_rand,ex14_2_3.bch,1.73427e-09,11490,8.72153,NA,NA,1,6018,6018,0,6020,6020
7,depth_k_rand,ex14_2_3.bch,1.00825e-09,15080,11.2356,NA,NA,1,7844,7844,0,7846,7846
9,depth_k_rand,ex14_2_3.bch,1.28947e-09,14742,9.15903,NA,NA,1,7527,7527,0,7529,7529
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,depth_k_rand,ex2_1_9fact.bch,-0.374978,2928,2.51462,NA,NA,1,1457,1457,0,1463,1463
3,depth_k_rand,ex2_1_9fact.bch,-0.374978,2928,2.51654,NA,NA,1,1461,1461,0,1463,1463
1,depth_k_rand,ex2_1_9fact.bch,-0.374978,2928,2.57866,NA,NA,1,1461,1461,0,1463,1463
5,depth_k_rand,ex2_1_9fact.bch,-0.374949,3062,2.63676,NA,NA,1,1528,1528,0,1534,1534
4,depth_k_rand,ex2_1_9fact.bch,-0.374949,3062,2.64127,NA,NA,1,1532,1532,0,1534,1534
0,depth_k_rand,ex2_1_9fact.bch,-0.374986,3156,2.70336,NA,NA,1,1572,1572,0,1578,1578
6,depth_k_rand,ex2_1_9fact.bch,-0.374977,2946,2.49493,NA,NA,1,1468,1468,0,1474,1474
7,depth_k_rand,ex2_1_9fact.bch,-0.374949,3062,2.54775,NA,NA,1,1532,1532,0,1534,1534
8,depth_k_rand,ex2_1_9fact.bch,-0.374985,2978,2.49808,NA,NA,1,1487,1487,0,1489,1489
9,depth_k_rand,ex2_1_9fact.bch,-0.374962,3094,2.56026,NA,NA,1,1544,1544,0,1550,1550
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,depth_k_rand,ex6_2_9.bch,-0.0340662,84414,36.3929,NA,NA,1,42192,42192,0,42206,42206
1,depth_k_rand,ex6_2_9.bch,-0.0340662,86616,36.4461,NA,NA,1,43301,43301,0,43307,43307
