run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,vol_k,ex6_2_9.bch,-0.0340662,84414,36.3661,NA,NA,1,42205,0,42205,42206,1
4,vol_k,ex6_2_9.bch,-0.0340661,84478,36.4543,NA,NA,1,42238,0,42238,42238,0
3,vol_k,ex6_2_9.bch,-0.0340661,84478,36.5031,NA,NA,1,42238,0,42238,42238,0
2,vol_k,ex6_2_9.bch,-0.0340662,84998,36.7347,NA,NA,1,42498,0,42498,42498,0
0,vol_k,ex6_2_9.bch,-0.0340662,86616,36.8191,NA,NA,1,43307,0,43307,43307,0
1,vol_k,ex6_2_9.bch,-0.0340662,86616,37.0177,NA,NA,1,43304,0,43304,43307,3
7,vol_k,ex6_2_9.bch,-0.0340662,84414,35.2535,NA,NA,1,42206,0,42206,42206,0
6,vol_k,ex6_2_9.bch,-0.0340662,84414,35.4268,NA,NA,1,42205,0,42205,42206,1
9,vol_k,ex6_2_9.bch,-0.0340662,84414,35.1859,NA,NA,1,42206,0,42206,42206,0
8,vol_k,ex6_2_9.bch,-0.0340662,84414,35.8877,NA,NA,1,42206,0,42206,42206,0
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k_rand,bearing.bch,1.95107,11474,11.3599,NA,NA,1,10542,0,10542,10563,21
5,vol_k_rand,bearing.bch,1.95158,10302,11.6228,NA,NA,1,9298,0,9298,9321,23
3,vol_k_rand,bearing.bch,1.95112,11212,12.2128,NA,NA,1,9937,0,9937,9965,28
0,vol_k_rand,bearing.bch,1.95111,14434,15.0081,NA,NA,1,13108,0,13108,13130,22
4,vol_k_rand,bearing.bch,1.95122,14704,15.1423,NA,NA,1,13326,0,13326,13380,54
6,vol_k_rand,bearing.bch,1.95114,10356,11.9572,NA,NA,1,9327,0,9327,9351,24
2,vol_k_rand,bearing.bch,1.95115,25340,23.3418,NA,NA,1,23243,0,23243,23311,68
7,vol_k_rand,bearing.bch,1.95178,12904,13.9512,NA,NA,1,11760,0,11760,11810,50
9,vol_k_rand,bearing.bch,1.9512,16682,16.6393,NA,NA,1,14980,0,14980,15032,52
8,vol_k_rand,bearing.bch,1.9511,22278,20.678,NA,NA,1,20390,0,20390,20468,78
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,vol_k_rand,ex2_1_8.bch,15639,304,1.26625,NA,NA,1,143,0,143,151,8
3,vol_k_rand,ex2_1_8.bch,15639,306,1.27583,NA,NA,1,148,0,148,152,4
4,vol_k_rand,ex2_1_8.bch,15639,324,1.31436,NA,NA,1,160,0,160,161,1
0,vol_k_rand,ex2_1_8.bch,15639,312,1.36967,NA,NA,1,149,0,149,155,6
1,vol_k_rand,ex2_1_8.bch,15639,386,1.58167,NA,NA,1,191,0,191,192,1
2,vol_k_rand,ex2_1_8.bch,15639,386,1.60112,NA,NA,1,185,0,185,192,7
6,vol_k_rand,ex2_1_8.bch,15639,352,1.43235,NA,NA,1,172,0,172,175,3
9,vol_k_rand,ex2_1_8.bch,15639,354,1.42317,NA,NA,1,176,0,176,176,0
8,vol_k_rand,ex2_1_8.bch,15639,386,1.54867,NA,NA,1,192,0,192,192,0
7,vol_k_rand,ex2_1_8.bch,15639,380,1.59693,NA,NA,1,188,0,188,189,1
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,vol_k_rand,ex6_2_9.bch,-0.0340661,84478,36.4592,NA,NA,1,42238,0,42238,42238,0
5,vol_k_rand,ex6_2_9.bch,-0.0340662,84414,36.5162,NA,NA,1,42205,0,42205,42206,1
1,vol_k_rand,ex6_2_9.bch,-0.0340662,86616,36.6232,NA,NA,1,43304,0,43304,43307,3
3,vol_k_rand,ex6_2_9.bch,-0.0340661,84478,36.726,NA,NA,1,42238,0,42238,42238,0
0,vol_k_rand,ex6_2_9.bch,-0.0340662,86616,36.9412,NA,NA,1,43307,0,43307,43307,0
2,vol_k_rand,ex6_2_9.bch,-0.0340662,84998,36.9605,NA,NA,1,42498,0,42498,42498,0
6,vol_k_rand,ex6_2_9.bch,-0.0340662,84414,35.2648,NA,NA,1,42205,0,42205,42206,1
7,vol_k_rand,ex6_2_9.bch,-0.0340662,84414,35.5101,NA,NA,1,42206,0,42206,42206,0
8,vol_k_rand,ex6_2_9.bch,-0.0340662,84414,35.4225,NA,NA,1,42206,0,42206,42206,0
9,vol_k_rand,ex6_2_9.bch,-0.0340662,84414,35.8184,NA,NA,1,42206,0,42206,42206,0
run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,vol_k_rand,ex6_1_3bis.bch,-0.351881,9970,3.73947,NA,NA,1,4990,0,4990,4996,6
0,vol_k_rand,ex6_1_3bis.bch,-0.351885,9968,3.75228,NA,NA,1,4995,0,4995,4995,0
1,vol_k_rand,ex6_1_3bis.bch,-0.351881,9970,3.75942,NA,NA,1,4995,0,4995,4996,1
2,vol_k_rand,ex6_1_3bis.bch,-0.351881,9970,3.77173,NA,NA,1,4990,0,4990,4996,6
4,vol_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.77577,NA,NA,1,5179,0,5179,5196,17
5,vol_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.82576,NA,NA,1,5170,0,5170,5196,26
7,vol_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.67018,NA,NA,1,5195,0,5195,5196,1
6,vol_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.68241,NA,NA,1,5195,0,5195,5196,1
8,vol_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.67284,NA,NA,1,5183,0,5183,5196,13
9,vol_k_rand,ex6_1_3bis.bch,-0.351882,10370,3.7108,NA,NA,1,5186,0,5186,5196,10
