run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,depth_k,himmel16.bch,1726,1726,0,1728,1728
5,depth_k,himmel16.bch,1726,1726,0,1728,1728
1,depth_k,himmel16.bch,2206,2206,0,2208,2208
0,depth_k,himmel16.bch,2206,2206,0,2208,2208
2,depth_k,himmel16.bch,2206,2206,0,2208,2208
4,depth_k,himmel16.bch,2206,2206,0,2208,2208
7,depth_k,himmel16.bch,1399,1399,0,1401,1401
6,depth_k,himmel16.bch,1726,1726,0,1728,1728
9,depth_k,himmel16.bch,1726,1726,0,1728,1728
8,depth_k,himmel16.bch,1726,1726,0,1728,1728
