run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,depth_k_rand,like-1.bch,1558,1558,0,1,1
4,depth_k_rand,like-1.bch,1558,1558,0,1,1
0,depth_k_rand,like-1.bch,1558,1558,0,1,1
2,depth_k_rand,like-1.bch,1558,1558,0,1,1
1,depth_k_rand,like-1.bch,1558,1558,0,1,1
5,depth_k_rand,like-1.bch,1558,1558,0,1,1
6,depth_k_rand,like-1.bch,1558,1558,0,1,1
7,depth_k_rand,like-1.bch,1558,1558,0,1,1
8,depth_k_rand,like-1.bch,1558,1558,0,1,1
9,depth_k_rand,like-1.bch,1558,1558,0,1,1
