run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k,bearing.bch,10542,0,10542,10563,21
5,vol_k,bearing.bch,9298,0,9298,9321,23
3,vol_k,bearing.bch,9937,0,9937,9965,28
0,vol_k,bearing.bch,13108,0,13108,13130,22
4,vol_k,bearing.bch,13326,0,13326,13380,54
2,vol_k,bearing.bch,23243,0,23243,23311,68
6,vol_k,bearing.bch,9327,0,9327,9351,24
7,vol_k,bearing.bch,11760,0,11760,11810,50
9,vol_k,bearing.bch,14980,0,14980,15032,52
8,vol_k,bearing.bch,20390,0,20390,20468,78
