run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,vol_k,ex2_1_9fact.bch,1463,0,1463,1463,0
2,vol_k,ex2_1_9fact.bch,1461,0,1461,1463,2
1,vol_k,ex2_1_9fact.bch,1462,0,1462,1463,1
5,vol_k,ex2_1_9fact.bch,1531,0,1531,1534,3
4,vol_k,ex2_1_9fact.bch,1530,0,1530,1534,4
0,vol_k,ex2_1_9fact.bch,1575,0,1575,1578,3
6,vol_k,ex2_1_9fact.bch,1470,0,1470,1474,4
8,vol_k,ex2_1_9fact.bch,1487,0,1487,1489,2
7,vol_k,ex2_1_9fact.bch,1534,0,1534,1534,0
9,vol_k,ex2_1_9fact.bch,1544,0,1544,1550,6
