run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,vol_k,ex7_3_5bis.bch,8301,0,8301,8302,1
4,vol_k,ex7_3_5bis.bch,8300,0,8300,8302,2
0,vol_k,ex7_3_5bis.bch,8301,0,8301,8302,1
3,vol_k,ex7_3_5bis.bch,8301,0,8301,8302,1
1,vol_k,ex7_3_5bis.bch,8288,0,8288,8302,14
2,vol_k,ex7_3_5bis.bch,8298,0,8298,8302,4
6,vol_k,ex7_3_5bis.bch,8301,0,8301,8302,1
8,vol_k,ex7_3_5bis.bch,8301,0,8301,8302,1
9,vol_k,ex7_3_5bis.bch,8298,0,8298,8302,4
7,vol_k,ex7_3_5bis.bch,8296,0,8296,8302,6
