run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,vol_k_rand,launch.bch,7244,0,7244,7270,26
4,vol_k_rand,launch.bch,7533,0,7533,7558,25
1,vol_k_rand,launch.bch,10501,0,10501,10529,28
5,vol_k_rand,launch.bch,10401,0,10401,10425,24
2,vol_k_rand,launch.bch,13343,0,13343,13369,26
0,vol_k_rand,launch.bch,13327,0,13327,13363,36
9,vol_k_rand,launch.bch,3653,0,3653,3684,31
6,vol_k_rand,launch.bch,10928,0,10928,10965,37
8,vol_k_rand,launch.bch,9468,0,9468,9513,45
7,vol_k_rand,launch.bch,13600,0,13600,13636,36
